date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-03-10 00:00:00+00:00,2022,10,3,0,nan,nan,nan,nan,nan,72.57940,-38.50420,3254.00
2022-03-14 18:00:00+00:00,2022,14,3,18,-296.9,-27.9,75.8,19.2,123.7,72.57940,-38.50420,3254.00
2022-03-14 19:00:00+00:00,2022,14,3,19,-297.7,-26.5,77.3,22.2,132.8,72.57940,-38.50420,3254.00
2022-03-14 20:00:00+00:00,2022,14,3,20,-297.3,-26.5,77.2,21.8,140.3,72.57940,-38.50420,3254.00
2022-03-14 21:00:00+00:00,2022,14,3,21,-296.7,-26.6,77.2,18.4,133.2,72.57940,-38.50420,3254.00
2022-03-14 22:00:00+00:00,2022,14,3,22,-296.7,-26.9,76.9,16.6,131.8,72.57940,-38.50420,3254.00
2022-03-14 23:00:00+00:00,2022,14,3,23,-297.0,-27.2,76.7,15.9,129.9,72.57940,-38.50420,3254.00
2022-03-15 00:00:00+00:00,2022,15,3,0,-297.4,-27.3,76.5,15.2,130.3,72.57940,-38.50420,3254.00
2022-03-15 01:00:00+00:00,2022,15,3,1,-297.8,-27.5,76.3,14.9,131.3,72.57940,-38.50420,3254.00
2022-03-15 02:00:00+00:00,2022,15,3,2,-297.9,-28.0,75.8,13.7,133.6,72.57940,-38.50420,3254.00
2022-03-15 03:00:00+00:00,2022,15,3,3,-298.0,-29.3,74.5,11.2,135.6,72.57940,-38.50420,3254.00
2022-03-15 04:00:00+00:00,2022,15,3,4,-298.1,-30.4,73.5,10.8,132.6,72.57940,-38.50420,3254.00
2022-03-15 05:00:00+00:00,2022,15,3,5,-298.2,-30.1,73.7,10.6,133.6,72.57940,-38.50420,3254.00
2022-03-15 06:00:00+00:00,2022,15,3,6,-298.3,-30.5,73.3,10.0,129.9,72.57940,-38.50420,3254.00
2022-03-15 07:00:00+00:00,2022,15,3,7,-298.3,-30.8,73.1,9.7,133.7,72.57940,-38.50420,3254.00
2022-03-15 08:00:00+00:00,2022,15,3,8,-298.3,-31.0,72.8,9.1,131.3,72.57940,-38.50420,3254.00
2022-03-15 09:00:00+00:00,2022,15,3,9,-298.3,-31.3,72.5,8.0,131.7,72.57940,-38.50420,3254.00
2022-03-15 10:00:00+00:00,2022,15,3,10,-298.3,-31.5,72.3,7.8,136.0,72.57940,-38.50420,3254.00
2022-03-15 11:00:00+00:00,2022,15,3,11,-298.3,-30.4,73.4,8.3,142.6,72.57940,-38.50420,3254.00
2022-03-15 12:00:00+00:00,2022,15,3,12,-298.3,-29.1,74.7,9.2,147.2,72.57940,-38.50420,3254.00
2022-03-15 13:00:00+00:00,2022,15,3,13,-298.1,-28.8,75.0,8.9,146.9,72.57940,-38.50420,3254.00
2022-03-15 14:00:00+00:00,2022,15,3,14,-298.0,-28.9,74.9,8.1,151.3,72.57940,-38.50420,3254.00
2022-03-15 15:00:00+00:00,2022,15,3,15,-297.9,-29.0,74.8,7.7,148.0,72.57940,-38.50420,3254.00
2022-03-15 16:00:00+00:00,2022,15,3,16,-297.7,-28.4,75.4,6.8,148.2,72.57940,-38.50420,3254.00
2022-03-15 17:00:00+00:00,2022,15,3,17,-297.8,-28.8,75.1,5.7,144.8,72.57940,-38.50420,3254.00
2022-03-15 18:00:00+00:00,2022,15,3,18,-297.7,-30.4,73.7,4.9,137.4,72.57940,-38.50420,3254.00
2022-03-15 19:00:00+00:00,2022,15,3,19,-297.4,-31.8,72.2,4.7,137.3,72.57940,-38.50420,3254.00
2022-03-15 20:00:00+00:00,2022,15,3,20,-297.2,-31.6,72.2,4.6,145.0,72.57940,-38.50420,3254.00
2022-03-15 21:00:00+00:00,2022,15,3,21,-296.9,-32.0,71.8,4.6,147.9,72.57940,-38.50420,3254.00
2022-03-15 22:00:00+00:00,2022,15,3,22,-296.7,-32.5,71.3,4.2,147.5,72.57940,-38.50420,3254.00
2022-03-15 23:00:00+00:00,2022,15,3,23,-296.7,-32.8,71.0,3.6,149.6,72.57940,-38.50420,3254.00
2022-03-16 00:00:00+00:00,2022,16,3,0,-296.7,-33.4,70.4,2.9,150.0,72.57940,-38.50420,3254.00
2022-03-16 01:00:00+00:00,2022,16,3,1,-296.6,-35.0,68.8,3.3,149.9,72.57940,-38.50420,3254.00
2022-03-16 02:00:00+00:00,2022,16,3,2,-296.6,-36.2,67.7,3.1,149.8,72.57940,-38.50420,3254.00
2022-03-16 03:00:00+00:00,2022,16,3,3,-296.6,-37.9,66.0,3.0,149.7,72.57940,-38.50420,3254.00
2022-03-16 04:00:00+00:00,2022,16,3,4,-296.5,-39.3,64.3,2.7,149.7,72.57940,-38.50420,3254.00
2022-03-16 05:00:00+00:00,2022,16,3,5,-296.4,-39.2,64.2,2.9,149.8,72.57940,-38.50420,3254.00
2022-03-16 06:00:00+00:00,2022,16,3,6,-296.4,-39.1,64.4,2.2,149.8,72.57940,-38.50420,3254.00
2022-03-16 07:00:00+00:00,2022,16,3,7,-296.3,-39.5,64.0,2.5,149.8,72.57940,-38.50420,3254.00
2022-03-16 08:00:00+00:00,2022,16,3,8,-296.2,-40.4,63.2,2.4,149.7,72.57940,-38.50420,3254.00
2022-03-16 09:00:00+00:00,2022,16,3,9,-296.0,-42.6,61.0,2.9,149.7,72.57940,-38.50420,3254.00
2022-03-16 10:00:00+00:00,2022,16,3,10,-295.9,-43.3,60.0,3.0,149.7,72.57940,-38.50420,3254.00
2022-03-16 11:00:00+00:00,2022,16,3,11,-295.7,-42.7,60.4,4.0,149.7,72.57940,-38.50420,3254.00
2022-03-16 12:00:00+00:00,2022,16,3,12,-295.5,-41.3,61.8,2.8,150.1,72.57940,-38.50420,3254.00
2022-03-16 13:00:00+00:00,2022,16,3,13,-295.3,-38.8,64.2,2.5,150.9,72.57940,-38.50420,3254.00
2022-03-16 14:00:00+00:00,2022,16,3,14,-295.1,-36.9,66.3,3.6,153.0,72.57940,-38.50420,3254.00
2022-03-16 15:00:00+00:00,2022,16,3,15,-294.9,-36.3,67.0,3.1,153.8,72.57940,-38.50420,3254.00
2022-03-16 16:00:00+00:00,2022,16,3,16,-294.8,-35.9,67.4,2.8,153.8,72.57940,-38.50420,3254.00
2022-03-16 17:00:00+00:00,2022,16,3,17,-294.6,-35.8,68.0,3.0,153.9,72.57940,-38.50420,3254.00
2022-03-16 18:00:00+00:00,2022,16,3,18,-294.5,-36.5,67.7,2.9,153.8,72.57940,-38.50420,3254.00
2022-03-16 19:00:00+00:00,2022,16,3,19,-294.4,-38.4,66.0,3.0,153.8,72.57940,-38.50420,3254.00
2022-03-16 20:00:00+00:00,2022,16,3,20,-294.1,-41.0,62.9,3.2,153.8,72.57940,-38.50420,3254.00
2022-03-16 21:00:00+00:00,2022,16,3,21,-293.8,-43.5,60.2,3.1,153.8,72.57940,-38.50420,3254.00
2022-03-16 22:00:00+00:00,2022,16,3,22,-293.6,-46.0,57.4,3.2,153.8,72.57940,-38.50420,3254.00
2022-03-16 23:00:00+00:00,2022,16,3,23,-293.4,-47.5,55.7,3.2,153.8,72.57940,-38.50420,3254.00
2022-03-17 00:00:00+00:00,2022,17,3,0,-293.1,-47.7,55.5,3.1,153.8,72.57940,-38.50420,3254.00
2022-03-17 01:00:00+00:00,2022,17,3,1,-292.9,-48.0,55.0,3.1,153.8,72.57940,-38.50420,3254.00
2022-03-17 02:00:00+00:00,2022,17,3,2,-292.7,-48.3,54.8,3.0,153.8,72.57940,-38.50420,3254.00
2022-03-17 03:00:00+00:00,2022,17,3,3,-292.5,-48.3,54.7,2.9,153.8,72.57940,-38.50420,3254.00
2022-03-17 04:00:00+00:00,2022,17,3,4,-292.2,-47.8,55.2,2.7,153.8,72.57940,-38.50420,3254.00
2022-03-17 05:00:00+00:00,2022,17,3,5,-291.9,-47.3,55.7,2.4,153.8,72.57940,-38.50420,3254.00
2022-03-17 06:00:00+00:00,2022,17,3,6,-291.7,-48.5,54.5,2.4,153.8,72.57940,-38.50420,3254.00
2022-03-17 07:00:00+00:00,2022,17,3,7,-291.4,-49.8,53.1,2.6,153.8,72.57940,-38.50420,3254.00
2022-03-17 08:00:00+00:00,2022,17,3,8,-291.0,-49.6,53.3,2.7,153.8,72.57940,-38.50420,3254.00
2022-03-17 09:00:00+00:00,2022,17,3,9,-290.5,-50.0,52.9,2.9,153.8,72.57940,-38.50420,3254.00
2022-03-17 10:00:00+00:00,2022,17,3,10,-290.1,-49.0,53.7,3.0,153.8,72.57940,-38.50420,3254.00
2022-03-17 11:00:00+00:00,2022,17,3,11,-289.8,-48.0,54.4,2.7,153.8,72.57940,-38.50420,3254.00
2022-03-17 12:00:00+00:00,2022,17,3,12,-289.4,-46.2,56.0,2.4,153.8,72.57940,-38.50420,3254.00
2022-03-17 13:00:00+00:00,2022,17,3,13,-289.0,-44.6,57.6,1.8,153.8,72.57940,-38.50420,3254.00
2022-03-17 14:00:00+00:00,2022,17,3,14,-288.6,-44.0,58.5,2.2,153.8,72.57940,-38.50420,3254.00
2022-03-17 15:00:00+00:00,2022,17,3,15,-288.4,-42.5,60.4,3.1,153.9,72.57940,-38.50420,3254.00
2022-03-17 16:00:00+00:00,2022,17,3,16,-288.0,-42.2,61.1,4.2,153.8,72.57940,-38.50420,3254.00
2022-03-17 17:00:00+00:00,2022,17,3,17,-287.6,-41.6,61.8,4.5,153.9,72.57940,-38.50420,3254.00
2022-03-17 18:00:00+00:00,2022,17,3,18,-287.4,-41.3,61.9,4.2,153.9,72.57940,-38.50420,3254.00
2022-03-17 19:00:00+00:00,2022,17,3,19,-287.3,-42.1,61.3,3.5,153.8,72.57940,-38.50420,3254.00
2022-03-17 20:00:00+00:00,2022,17,3,20,-287.1,-44.2,59.0,3.7,153.8,72.57940,-38.50420,3254.00
2022-03-17 21:00:00+00:00,2022,17,3,21,-286.9,-45.0,57.8,4.1,153.8,72.57940,-38.50420,3254.00
2022-03-17 22:00:00+00:00,2022,17,3,22,-286.9,-44.6,58.2,3.8,153.8,72.57940,-38.50420,3254.00
2022-03-17 23:00:00+00:00,2022,17,3,23,-286.8,-44.1,58.6,3.9,153.8,72.57940,-38.50420,3254.00
2022-03-18 00:00:00+00:00,2022,18,3,0,-286.7,-42.2,60.5,3.3,153.8,72.57940,-38.50420,3254.00
2022-03-18 01:00:00+00:00,2022,18,3,1,-286.8,-39.6,63.1,3.6,153.9,72.57940,-38.50420,3254.00
2022-03-18 02:00:00+00:00,2022,18,3,2,-286.8,-38.1,64.7,3.2,153.9,72.57940,-38.50420,3254.00
2022-03-18 03:00:00+00:00,2022,18,3,3,-286.8,-37.3,65.6,3.5,131.5,72.57940,-38.50420,3254.00
2022-03-18 04:00:00+00:00,2022,18,3,4,-286.9,-36.8,66.2,2.0,117.8,72.57940,-38.50420,3254.00
2022-03-18 05:00:00+00:00,2022,18,3,5,-287.2,-36.5,66.5,2.3,99.0,72.57940,-38.50420,3254.00
2022-03-18 06:00:00+00:00,2022,18,3,6,-287.4,-36.5,66.6,2.9,107.0,72.57940,-38.50420,3254.00
2022-03-18 07:00:00+00:00,2022,18,3,7,-287.3,-36.0,67.1,4.0,110.5,72.57940,-38.50420,3254.00
2022-03-18 08:00:00+00:00,2022,18,3,8,-287.2,-36.4,66.8,4.0,118.6,72.57940,-38.50420,3254.00
2022-03-18 09:00:00+00:00,2022,18,3,9,-287.1,-36.1,67.0,5.2,120.7,72.57940,-38.50420,3254.00
2022-03-18 10:00:00+00:00,2022,18,3,10,-287.1,-36.0,67.2,5.8,120.0,72.57940,-38.50420,3254.00
2022-03-18 11:00:00+00:00,2022,18,3,11,-287.0,-36.0,67.2,5.5,125.5,72.57940,-38.50420,3254.00
2022-03-18 12:00:00+00:00,2022,18,3,12,-286.9,-36.1,67.1,5.0,121.2,72.57940,-38.50420,3254.00
2022-03-18 13:00:00+00:00,2022,18,3,13,-286.7,-36.1,67.1,4.9,128.2,72.57940,-38.50420,3254.00
2022-03-18 14:00:00+00:00,2022,18,3,14,-286.5,-35.6,67.7,4.8,138.4,72.57940,-38.50420,3254.00
2022-03-18 15:00:00+00:00,2022,18,3,15,-286.5,-35.4,68.1,4.1,134.1,72.57940,-38.50420,3254.00
2022-03-18 16:00:00+00:00,2022,18,3,16,-286.4,-35.7,67.8,4.6,133.4,72.57940,-38.50420,3254.00
2022-03-18 17:00:00+00:00,2022,18,3,17,-286.3,-34.7,68.6,4.5,149.3,72.57940,-38.50420,3254.00
2022-03-18 18:00:00+00:00,2022,18,3,18,-286.2,-34.1,69.3,3.9,154.8,72.57940,-38.50420,3254.00
2022-03-18 19:00:00+00:00,2022,18,3,19,-286.1,-34.4,69.1,3.8,154.9,72.57940,-38.50420,3254.00
2022-03-18 20:00:00+00:00,2022,18,3,20,-285.8,-35.4,68.1,3.4,149.0,72.57940,-38.50420,3254.00
2022-03-18 21:00:00+00:00,2022,18,3,21,-285.5,-38.8,65.1,3.5,142.4,72.57940,-38.50420,3254.00
2022-03-18 22:00:00+00:00,2022,18,3,22,-285.2,-41.4,62.0,4.0,147.5,72.57940,-38.50420,3254.00
2022-03-18 23:00:00+00:00,2022,18,3,23,-285.0,-43.5,59.8,3.9,149.0,72.57940,-38.50420,3254.00
2022-03-19 00:00:00+00:00,2022,19,3,0,-284.9,-44.6,58.7,3.6,152.6,72.57940,-38.50420,3254.00
2022-03-19 01:00:00+00:00,2022,19,3,1,-284.7,-45.7,57.4,3.7,153.0,72.57940,-38.50420,3254.00
2022-03-19 02:00:00+00:00,2022,19,3,2,-284.7,-46.4,56.8,2.7,153.4,72.57940,-38.50420,3254.00
2022-03-19 03:00:00+00:00,2022,19,3,3,-284.5,-48.2,54.9,2.4,153.4,72.57940,-38.50420,3254.00
2022-03-19 04:00:00+00:00,2022,19,3,4,-284.2,-49.2,53.8,2.5,153.4,72.57940,-38.50420,3254.00
2022-03-19 05:00:00+00:00,2022,19,3,5,-283.9,-49.2,53.7,2.3,154.4,72.57940,-38.50420,3254.00
2022-03-19 06:00:00+00:00,2022,19,3,6,-283.6,-49.6,53.3,2.6,154.5,72.57940,-38.50420,3254.00
2022-03-19 07:00:00+00:00,2022,19,3,7,-283.3,-49.7,53.2,2.4,154.5,72.57940,-38.50420,3254.00
2022-03-19 08:00:00+00:00,2022,19,3,8,-283.0,-50.6,52.4,2.6,154.5,72.57940,-38.50420,3254.00
2022-03-19 09:00:00+00:00,2022,19,3,9,-282.5,-51.2,51.7,2.7,154.5,72.57940,-38.50420,3254.00
2022-03-19 10:00:00+00:00,2022,19,3,10,-282.1,-50.9,51.6,3.1,154.5,72.57940,-38.50420,3254.00
2022-03-19 11:00:00+00:00,2022,19,3,11,-281.8,-49.6,52.7,3.3,154.5,72.57940,-38.50420,3254.00
2022-03-19 12:00:00+00:00,2022,19,3,12,-282.0,-48.1,54.2,2.5,154.5,72.57940,-38.50420,3254.00
2022-03-19 13:00:00+00:00,2022,19,3,13,-281.9,-46.1,56.2,3.5,154.5,72.57940,-38.50420,3254.00
2022-03-19 14:00:00+00:00,2022,19,3,14,-281.9,-44.6,57.9,3.9,154.1,72.57940,-38.50420,3254.00
2022-03-19 15:00:00+00:00,2022,19,3,15,-282.0,-41.8,60.8,3.7,155.2,72.57940,-38.50420,3254.00
2022-03-19 16:00:00+00:00,2022,19,3,16,-282.2,-39.6,63.6,3.2,154.2,72.57940,-38.50420,3254.00
2022-03-19 17:00:00+00:00,2022,19,3,17,-282.1,-39.6,63.9,3.7,154.9,72.57940,-38.50420,3254.00
2022-03-19 18:00:00+00:00,2022,19,3,18,-282.1,-39.1,64.7,3.4,156.1,72.57940,-38.50420,3254.00
2022-03-19 19:00:00+00:00,2022,19,3,19,-282.0,-39.8,64.5,3.7,156.1,72.57940,-38.50420,3254.00
2022-03-19 20:00:00+00:00,2022,19,3,20,-281.7,-41.9,61.9,3.9,156.1,72.57940,-38.50420,3254.00
2022-03-19 21:00:00+00:00,2022,19,3,21,-281.2,-44.8,58.4,3.6,156.1,72.57940,-38.50420,3254.00
2022-03-19 22:00:00+00:00,2022,19,3,22,-280.7,-47.9,55.1,3.1,156.1,72.57940,-38.50420,3254.00
2022-03-19 23:00:00+00:00,2022,19,3,23,-280.4,-50.1,52.8,3.3,156.1,72.57940,-38.50420,3254.00
2022-03-20 00:00:00+00:00,2022,20,3,0,-280.1,-51.1,51.7,3.3,156.1,72.57940,-38.50420,3254.00
2022-03-20 01:00:00+00:00,2022,20,3,1,-279.7,-52.5,50.3,2.9,156.1,72.57940,-38.50420,3254.00
2022-03-20 02:00:00+00:00,2022,20,3,2,-279.2,-53.7,49.0,3.0,156.1,72.57940,-38.50420,3254.00
2022-03-20 03:00:00+00:00,2022,20,3,3,-279.2,-53.8,48.7,3.3,156.1,72.57940,-38.50420,3254.00
2022-03-20 04:00:00+00:00,2022,20,3,4,-279.2,-54.1,48.5,2.5,156.1,72.57940,-38.50420,3254.00
2022-03-20 05:00:00+00:00,2022,20,3,5,-279.0,-55.0,47.5,2.8,156.1,72.57940,-38.50420,3254.00
2022-03-20 07:00:00+00:00,2022,20,3,7,-278.6,-56.4,45.9,2.9,156.1,72.57940,-38.50420,3254.00
2022-03-20 08:00:00+00:00,2022,20,3,8,-278.4,nan,45.7,2.8,156.1,72.57940,-38.50420,3254.00
2022-03-20 09:00:00+00:00,2022,20,3,9,-278.2,nan,45.1,2.7,156.1,72.57940,-38.50420,3254.00
2022-03-20 10:00:00+00:00,2022,20,3,10,-278.4,nan,46.3,2.2,156.1,72.57940,-38.50420,3254.00
2022-03-20 11:00:00+00:00,2022,20,3,11,-279.4,-52.3,49.1,1.9,156.0,72.57940,-38.50420,3254.00
2022-03-20 12:00:00+00:00,2022,20,3,12,-280.4,-49.6,51.6,1.4,156.1,72.57940,-38.50420,3254.00
2022-03-20 13:00:00+00:00,2022,20,3,13,-281.0,-48.2,53.2,1.5,156.1,72.57940,-38.50420,3254.00
2022-03-20 14:00:00+00:00,2022,20,3,14,-281.6,-46.5,54.9,1.0,156.1,72.57940,-38.50420,3254.00
2022-03-20 15:00:00+00:00,2022,20,3,15,-282.1,-45.1,57.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-20 16:00:00+00:00,2022,20,3,16,-282.2,-43.6,59.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-20 17:00:00+00:00,2022,20,3,17,-282.3,-43.3,60.4,nan,nan,72.57940,-38.50420,3254.00
2022-03-20 18:00:00+00:00,2022,20,3,18,-282.0,-43.3,60.8,nan,nan,72.57940,-38.50420,3254.00
2022-03-20 19:00:00+00:00,2022,20,3,19,-281.5,-43.5,60.7,nan,nan,72.57940,-38.50420,3254.00
2022-03-20 20:00:00+00:00,2022,20,3,20,-280.9,-46.4,57.6,nan,nan,72.57940,-38.50420,3254.00
2022-03-20 21:00:00+00:00,2022,20,3,21,-280.0,-50.0,53.5,nan,nan,72.57940,-38.50420,3254.00
2022-03-20 22:00:00+00:00,2022,20,3,22,-278.7,-53.9,49.1,nan,nan,72.57940,-38.50420,3254.00
2022-03-20 23:00:00+00:00,2022,20,3,23,-277.5,-57.0,45.5,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 00:00:00+00:00,2022,21,3,0,-276.5,nan,44.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 01:00:00+00:00,2022,21,3,1,-275.9,nan,43.6,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 02:00:00+00:00,2022,21,3,2,-275.3,nan,42.7,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 03:00:00+00:00,2022,21,3,3,-274.9,nan,43.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 04:00:00+00:00,2022,21,3,4,-274.7,nan,44.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 05:00:00+00:00,2022,21,3,5,-274.5,nan,44.3,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 06:00:00+00:00,2022,21,3,6,-273.9,nan,42.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 07:00:00+00:00,2022,21,3,7,-273.1,nan,41.6,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 08:00:00+00:00,2022,21,3,8,-272.5,nan,41.4,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 09:00:00+00:00,2022,21,3,9,-272.0,nan,41.6,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 10:00:00+00:00,2022,21,3,10,-271.9,nan,42.6,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 11:00:00+00:00,2022,21,3,11,-272.7,nan,44.5,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 12:00:00+00:00,2022,21,3,12,-273.9,nan,47.1,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 13:00:00+00:00,2022,21,3,13,-274.4,-48.5,51.9,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 14:00:00+00:00,2022,21,3,14,-274.8,-42.1,58.4,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 15:00:00+00:00,2022,21,3,15,-275.1,-38.3,63.7,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 16:00:00+00:00,2022,21,3,16,-274.8,-40.6,64.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 17:00:00+00:00,2022,21,3,17,-274.6,-40.2,64.9,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 18:00:00+00:00,2022,21,3,18,-274.1,-37.3,68.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 19:00:00+00:00,2022,21,3,19,-273.3,-40.0,65.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 20:00:00+00:00,2022,21,3,20,-272.2,-44.3,60.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 21:00:00+00:00,2022,21,3,21,-271.0,-48.9,55.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 22:00:00+00:00,2022,21,3,22,-269.8,-53.0,50.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-21 23:00:00+00:00,2022,21,3,23,-268.7,-54.7,48.1,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 00:00:00+00:00,2022,22,3,0,-267.7,nan,45.5,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 01:00:00+00:00,2022,22,3,1,-267.4,nan,44.8,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 02:00:00+00:00,2022,22,3,2,-267.2,nan,46.3,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 03:00:00+00:00,2022,22,3,3,-267.0,nan,44.1,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 04:00:00+00:00,2022,22,3,4,-266.8,nan,43.5,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 05:00:00+00:00,2022,22,3,5,-267.0,nan,44.3,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 06:00:00+00:00,2022,22,3,6,-267.1,nan,44.8,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 07:00:00+00:00,2022,22,3,7,-267.2,nan,45.3,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 08:00:00+00:00,2022,22,3,8,-267.5,nan,46.1,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 09:00:00+00:00,2022,22,3,9,-267.5,nan,45.7,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 10:00:00+00:00,2022,22,3,10,-268.2,nan,47.7,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 12:00:00+00:00,2022,22,3,12,-270.0,-49.5,51.9,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 13:00:00+00:00,2022,22,3,13,-270.5,-47.3,54.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 15:00:00+00:00,2022,22,3,15,-272.0,-43.5,58.7,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 16:00:00+00:00,2022,22,3,16,-272.5,-41.8,60.7,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 17:00:00+00:00,2022,22,3,17,-272.8,-40.8,62.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 18:00:00+00:00,2022,22,3,18,-273.0,-40.9,62.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 19:00:00+00:00,2022,22,3,19,-273.0,-41.0,61.9,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 20:00:00+00:00,2022,22,3,20,-273.0,-42.5,60.1,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 21:00:00+00:00,2022,22,3,21,-272.8,-43.0,59.5,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 22:00:00+00:00,2022,22,3,22,-272.5,-45.0,57.3,nan,nan,72.57940,-38.50420,3254.00
2022-03-22 23:00:00+00:00,2022,22,3,23,-272.4,-45.9,56.5,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 00:00:00+00:00,2022,23,3,0,-272.5,-45.3,57.1,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 01:00:00+00:00,2022,23,3,1,-273.0,-44.2,58.3,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 02:00:00+00:00,2022,23,3,2,-273.5,-43.4,59.1,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 03:00:00+00:00,2022,23,3,3,-273.8,-44.2,58.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 04:00:00+00:00,2022,23,3,4,-274.2,-43.5,59.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 05:00:00+00:00,2022,23,3,5,-274.3,-44.2,58.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 06:00:00+00:00,2022,23,3,6,-274.5,-44.0,58.4,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 07:00:00+00:00,2022,23,3,7,-274.4,-45.4,57.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 08:00:00+00:00,2022,23,3,8,-274.1,-47.0,55.3,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 09:00:00+00:00,2022,23,3,9,-273.7,-48.1,54.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 10:00:00+00:00,2022,23,3,10,-273.7,-48.0,53.9,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 11:00:00+00:00,2022,23,3,11,-274.3,-46.4,54.8,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 12:00:00+00:00,2022,23,3,12,-274.8,-45.2,55.9,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 13:00:00+00:00,2022,23,3,13,-275.0,-44.1,57.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 14:00:00+00:00,2022,23,3,14,-275.2,-43.7,57.8,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 15:00:00+00:00,2022,23,3,15,-275.6,-42.9,59.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 16:00:00+00:00,2022,23,3,16,-275.7,-42.2,60.8,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 17:00:00+00:00,2022,23,3,17,-275.6,-41.6,62.5,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 18:00:00+00:00,2022,23,3,18,-275.3,-41.6,63.1,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 20:00:00+00:00,2022,23,3,20,-274.2,-44.5,59.9,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 21:00:00+00:00,2022,23,3,21,-273.5,-47.6,56.2,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 22:00:00+00:00,2022,23,3,22,-272.5,-51.2,51.9,nan,nan,72.57940,-38.50420,3254.00
2022-03-23 23:00:00+00:00,2022,23,3,23,-271.4,-54.1,48.4,nan,nan,72.57940,-38.50420,3254.00
2022-03-24 01:00:00+00:00,2022,24,3,1,-270.1,-57.2,45.0,nan,nan,72.57940,-38.50420,3254.00
2022-03-24 02:00:00+00:00,2022,24,3,2,-269.9,nan,44.8,nan,nan,72.57940,-38.50420,3254.00
