date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-04-01 00:00:00,-93.3,-6.3,86.6,3.5,131.2,72.88570,53.60938,905.55
2022-04-02 00:00:00,-93.8,-11.18,72.4,6.0,137.5,72.88571,53.60947,905.69
2022-04-03 00:00:00,-101.0,-8.45,65.8,6.7,137.8,72.88570,53.60936,905.83
2022-04-04 00:00:00,-94.8,-9.57,69.5,7.1,136.5,72.88571,53.60945,905.97
2022-04-05 00:00:00,-99.5,-6.802,68.6,10.2,126.0,72.88570,53.60943,906.11
2022-04-06 00:00:00,-92.8,-7.507,93.7,1.5,185.2,72.88568,53.60940,906.25
2022-04-07 00:00:00,-93.6,-16.72,84.7,0.6,73.6,72.88567,53.60938,906.39
2022-04-08 00:00:00,-97.4,-17.51,83.2,3.4,171.6,72.88566,53.60938,906.53
2022-04-09 00:00:00,-98.3,-22.31,72.8,5.5,126.5,72.88570,53.60958,906.67
2022-04-10 01:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 02:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 03:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 04:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 05:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 06:00:00,-94.2,-20.04,65.7,7.4,119.5,72.88570,53.60941,906.81
2022-04-10 07:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 08:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 09:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 10:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 11:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 12:00:00,-94.6,-20.09,54.8,6.7,124.4,72.88572,53.60948,906.81
2022-04-10 13:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 14:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 15:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 16:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 17:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 18:00:00,-95.1,-14.76,67.7,2.5,102.4,72.88574,53.60957,906.81
2022-04-10 19:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 20:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 21:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 22:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-10 23:00:00,nan,,nan,nan,nan,nan,nan,906.81
2022-04-11 00:00:00,-94.2,-15.22,80.2,3.4,138.0,72.88571,53.60958,906.95
2022-04-11 01:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 02:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 03:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 04:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 05:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 06:00:00,-93.8,-14.08,84.5,3.9,172.2,72.88571,53.60945,906.95
2022-04-11 07:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 08:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 09:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 10:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 11:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 12:00:00,-92.7,-12.96,76.5,2.8,124.4,72.88570,53.60942,906.95
2022-04-11 13:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 14:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 15:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 16:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 17:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 18:00:00,-92.8,-8.81,81.2,3.8,160.0,72.88575,53.60967,906.95
2022-04-11 19:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 20:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 21:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-11 22:00:00,nan,,nan,nan,nan,nan,nan,906.95
2022-04-12 00:00:00,-93.7,-9.63,89.0,5.4,150.0,72.88571,53.60950,907.09
2022-04-12 01:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 02:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 03:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 04:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 05:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 06:00:00,-95.2,-9.74,86.6,6.4,152.1,72.88571,53.60950,907.09
2022-04-12 07:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 08:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 09:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 10:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 11:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 12:00:00,-97.0,-9.07,81.2,7.0,144.1,72.88569,53.60945,907.09
2022-04-12 13:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 14:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 15:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 16:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 17:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 18:00:00,-98.7,-7.462,65.9,5.6,172.8,72.88573,53.60958,907.09
2022-04-12 19:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 20:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 21:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-12 22:00:00,nan,,nan,nan,nan,nan,nan,907.09
2022-04-13 00:00:00,-99.8,-11.3,70.7,4.1,142.6,72.88569,53.60949,907.23
2022-04-13 02:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 03:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 04:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 05:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 06:00:00,-103.0,-10.57,91.3,2.7,176.8,72.88569,53.60942,907.23
2022-04-13 07:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 08:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 09:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 10:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 11:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 12:00:00,-101.5,-17.51,71.5,0.4,339.3,72.88571,53.60939,907.23
2022-04-13 13:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 14:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 15:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 16:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 17:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 18:00:00,-100.6,-20.64,71.5,0.8,294.5,72.88573,53.60966,907.23
2022-04-13 19:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 20:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 21:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 22:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-13 23:00:00,nan,,nan,nan,nan,nan,nan,907.23
2022-04-14 00:00:00,-99.3,-22.75,77.4,1.6,11.1,72.88571,53.60950,907.37
2022-04-14 01:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 02:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 03:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 04:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 05:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 06:00:00,-100.0,-23.29,76.7,1.6,23.1,72.88571,53.60949,907.37
2022-04-14 07:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 09:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 10:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 11:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 12:00:00,-99.3,-22.61,72.8,0.3,84.8,72.88571,53.60945,907.37
2022-04-14 13:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 15:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 16:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 17:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 18:00:00,-99.0,-20.7,59.4,1.6,129.3,72.88573,53.60959,907.37
2022-04-14 19:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 20:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 22:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-14 23:00:00,nan,,nan,nan,nan,nan,nan,907.37
2022-04-15 00:00:00,-99.8,-25.68,60.4,6.4,126.0,72.88569,53.60959,907.51
2022-04-15 01:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 02:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 03:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 05:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 06:00:00,-101.3,-26.17,51.9,6.9,134.2,72.88569,53.60948,907.51
2022-04-15 07:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 08:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 09:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 10:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 11:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 12:00:00,-102.5,-22.25,45.8,5.3,122.8,72.88569,53.60948,907.51
2022-04-15 13:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 14:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 15:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 16:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 17:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 18:00:00,-103.0,-19.56,52.6,0.0,0.0,72.88573,53.60965,907.51
2022-04-15 19:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 20:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 21:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 22:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-15 23:00:00,nan,,nan,nan,nan,nan,nan,907.51
2022-04-16 00:00:00,-100.0,-28.37,56.5,5.6,118.4,72.88568,53.60962,907.65
2022-04-16 01:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 02:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 03:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 04:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 05:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 06:00:00,-98.7,-29.3,54.9,6.0,120.0,72.88569,53.60950,907.65
2022-04-16 07:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 08:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 09:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 10:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 11:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 12:00:00,-101.2,-21.56,50.1,5.5,127.2,72.88568,53.60953,907.65
2022-04-16 13:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 14:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 15:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 16:00:00,nan,,nan,nan,nan,nan,nan,907.65
2022-04-16 17:00:00,nan,,nan,nan,nan,nan,nan,907.65
