date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-01-01 00:00:00,2022,1,1,0,-66.5,-15.36,52.8,4.9,101.9,67.09403,-49.96317,638.35
2022-01-01 01:00:00,2022,1,1,1,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 02:00:00,2022,1,1,2,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 03:00:00,2022,1,1,3,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 04:00:00,2022,1,1,4,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 05:00:00,2022,1,1,5,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 06:00:00,2022,1,1,6,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 07:00:00,2022,1,1,7,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 08:00:00,2022,1,1,8,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 09:00:00,2022,1,1,9,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 10:00:00,2022,1,1,10,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 11:00:00,2022,1,1,11,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 12:00:00,2022,1,1,12,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 13:00:00,2022,1,1,13,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 14:00:00,2022,1,1,14,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 15:00:00,2022,1,1,15,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 16:00:00,2022,1,1,16,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 17:00:00,2022,1,1,17,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 18:00:00,2022,1,1,18,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 19:00:00,2022,1,1,19,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 20:00:00,2022,1,1,20,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 21:00:00,2022,1,1,21,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 22:00:00,2022,1,1,22,nan,,nan,nan,nan,nan,nan,638.35
2022-01-01 23:00:00,2022,1,1,23,nan,,nan,nan,nan,nan,nan,638.35
2022-01-02 00:00:00,2022,2,1,0,-64.3,-16.5,57.1,4.3,120.8,67.09404,-49.96319,638.33
2022-01-02 01:00:00,2022,2,1,1,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 02:00:00,2022,2,1,2,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 03:00:00,2022,2,1,3,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 04:00:00,2022,2,1,4,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 05:00:00,2022,2,1,5,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 06:00:00,2022,2,1,6,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 07:00:00,2022,2,1,7,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 08:00:00,2022,2,1,8,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 09:00:00,2022,2,1,9,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 10:00:00,2022,2,1,10,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 11:00:00,2022,2,1,11,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 12:00:00,2022,2,1,12,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 13:00:00,2022,2,1,13,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 14:00:00,2022,2,1,14,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 15:00:00,2022,2,1,15,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 16:00:00,2022,2,1,16,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 17:00:00,2022,2,1,17,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 18:00:00,2022,2,1,18,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 19:00:00,2022,2,1,19,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 20:00:00,2022,2,1,20,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 21:00:00,2022,2,1,21,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 22:00:00,2022,2,1,22,nan,,nan,nan,nan,nan,nan,638.33
2022-01-02 23:00:00,2022,2,1,23,nan,,nan,nan,nan,nan,nan,638.33
2022-01-03 00:00:00,2022,3,1,0,-69.0,-14.2,63.3,5.3,115.9,67.09403,-49.96319,638.32
2022-01-03 01:00:00,2022,3,1,1,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 02:00:00,2022,3,1,2,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 03:00:00,2022,3,1,3,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 04:00:00,2022,3,1,4,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 05:00:00,2022,3,1,5,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 06:00:00,2022,3,1,6,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 07:00:00,2022,3,1,7,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 08:00:00,2022,3,1,8,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 09:00:00,2022,3,1,9,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 10:00:00,2022,3,1,10,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 11:00:00,2022,3,1,11,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 12:00:00,2022,3,1,12,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 13:00:00,2022,3,1,13,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 14:00:00,2022,3,1,14,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 15:00:00,2022,3,1,15,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 16:00:00,2022,3,1,16,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 17:00:00,2022,3,1,17,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 18:00:00,2022,3,1,18,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 19:00:00,2022,3,1,19,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 20:00:00,2022,3,1,20,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 21:00:00,2022,3,1,21,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 22:00:00,2022,3,1,22,nan,,nan,nan,nan,nan,nan,638.32
2022-01-03 23:00:00,2022,3,1,23,nan,,nan,nan,nan,nan,nan,638.32
2022-01-04 00:00:00,2022,4,1,0,-79.4,-4.068,46.8,11.2,143.8,67.09404,-49.96321,638.30
2022-01-04 01:00:00,2022,4,1,1,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 02:00:00,2022,4,1,2,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 03:00:00,2022,4,1,3,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 04:00:00,2022,4,1,4,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 05:00:00,2022,4,1,5,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 06:00:00,2022,4,1,6,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 07:00:00,2022,4,1,7,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 08:00:00,2022,4,1,8,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 09:00:00,2022,4,1,9,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 10:00:00,2022,4,1,10,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 11:00:00,2022,4,1,11,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 12:00:00,2022,4,1,12,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 13:00:00,2022,4,1,13,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 14:00:00,2022,4,1,14,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 15:00:00,2022,4,1,15,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 16:00:00,2022,4,1,16,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 17:00:00,2022,4,1,17,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 18:00:00,2022,4,1,18,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 19:00:00,2022,4,1,19,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 20:00:00,2022,4,1,20,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 21:00:00,2022,4,1,21,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 22:00:00,2022,4,1,22,nan,,nan,nan,nan,nan,nan,638.30
2022-01-04 23:00:00,2022,4,1,23,nan,,nan,nan,nan,nan,nan,638.30
2022-01-05 00:00:00,2022,5,1,0,-101.9,-2.266,73.5,24.2,114.6,67.09403,-49.96321,638.28
2022-01-05 01:00:00,2022,5,1,1,nan,,nan,nan,nan,nan,nan,638.28
2022-01-05 02:00:00,2022,5,1,2,nan,,nan,nan,nan,nan,nan,638.28
2022-01-05 03:00:00,2022,5,1,3,nan,,nan,nan,nan,nan,nan,638.28
2022-01-05 04:00:00,2022,5,1,4,nan,,nan,nan,nan,nan,nan,638.28
