date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 06:00:00,2022,1,7,6,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 09:00:00,2022,1,7,9,-266.8,-8.2,85.0,6.4,338.6,75.00245,-29.98055,2627.60
2022-07-01 10:00:00,2022,1,7,10,-266.8,-7.7,84.1,5.3,336.9,75.00242,-29.98057,2627.60
2022-07-01 11:00:00,2022,1,7,11,-266.6,-7.6,86.9,4.6,319.9,75.00241,-29.98049,2627.60
2022-07-01 12:00:00,2022,1,7,12,-266.6,-7.4,87.2,5.1,331.6,75.00245,-29.98062,2627.60
2022-07-01 13:00:00,2022,1,7,13,-266.8,-7.1,84.7,5.5,334.3,75.00246,-29.98054,2627.60
2022-07-01 14:00:00,2022,1,7,14,-266.7,-7.1,83.1,5.6,341.4,75.00246,-29.98052,2627.60
2022-07-01 15:00:00,2022,1,7,15,-266.7,-6.9,79.2,5.4,317.3,75.00243,-29.98048,2627.60
2022-07-01 16:00:00,2022,1,7,16,-267.0,-7.4,78.4,5.9,325.7,75.00243,-29.98058,2627.60
2022-07-01 17:00:00,2022,1,7,17,-267.0,-7.7,74.6,5.4,315.2,75.00241,-29.98047,2627.60
2022-07-01 18:00:00,2022,1,7,18,-267.3,-8.1,74.0,5.8,292.5,75.00243,-29.98052,2627.60
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,2627.60
2022-07-02 00:00:00,2022,2,7,0,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 06:00:00,2022,2,7,6,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 12:00:00,2022,2,7,12,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 18:00:00,2022,2,7,18,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 19:00:00,2022,2,7,19,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 20:00:00,2022,2,7,20,nan,,nan,nan,nan,nan,nan,2627.58
2022-07-02 21:00:00,2022,2,7,21,-270.1,-8.1,88.2,11.5,327.5,75.00246,-29.98060,2627.58
