date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-217.1,-7.9,89.4,5.2,158.5,66.48232,-46.29324,2122.08
2022-07-01 01:00:00,2022,1,7,1,-217.3,-9.6,89.8,6.3,147.6,66.48233,-46.29324,2122.08
2022-07-01 02:00:00,2022,1,7,2,-217.6,-10.8,90.8,5.7,154.3,66.48229,-46.29340,2122.08
2022-07-01 03:00:00,2022,1,7,3,-218.1,-11.6,89.1,6.1,148.6,66.48228,-46.29334,2122.08
2022-07-01 04:00:00,2022,1,7,4,-218.4,-12.6,89.4,6.4,150.6,66.48236,-46.29324,2122.08
2022-07-01 05:00:00,2022,1,7,5,-218.7,-13.1,91.2,6.0,161.3,66.48231,-46.29333,2122.08
2022-07-01 06:00:00,2022,1,7,6,-218.9,-12.0,91.8,5.4,141.6,66.48230,-46.29337,2122.08
2022-07-01 07:00:00,2022,1,7,7,-219.1,-10.9,91.2,5.1,159.2,66.48231,-46.29342,2122.08
2022-07-01 08:00:00,2022,1,7,8,-219.2,-9.1,92.9,5.6,152.8,66.48232,-46.29340,2122.08
2022-07-01 09:00:00,2022,1,7,9,-219.6,-7.5,93.5,5.4,157.0,66.48233,-46.29334,2122.08
2022-07-01 10:00:00,2022,1,7,10,-219.9,-5.9,94.2,5.2,161.0,66.48233,-46.29324,2122.08
2022-07-01 11:00:00,2022,1,7,11,-220.0,-3.7,95.6,4.9,170.0,66.48233,-46.29329,2122.08
2022-07-01 12:00:00,2022,1,7,12,-220.0,-1.9,94.1,4.2,188.7,66.48229,-46.29326,2122.08
2022-07-01 13:00:00,2022,1,7,13,-220.2,-0.5,94.8,3.5,260.1,66.48229,-46.29336,2122.08
2022-07-01 14:00:00,2022,1,7,14,-220.0,-0.7,94.1,3.1,252.0,66.48231,-46.29326,2122.08
2022-07-01 15:00:00,2022,1,7,15,-220.0,-1.3,94.9,4.4,266.4,66.48229,-46.29344,2122.08
2022-07-01 16:00:00,2022,1,7,16,-220.0,-1.5,94.5,4.3,275.1,66.48234,-46.29333,2122.08
2022-07-01 17:00:00,2022,1,7,17,-219.8,-2.0,93.6,6.0,269.7,66.48227,-46.29328,2122.08
2022-07-01 18:00:00,2022,1,7,18,-219.4,-2.4,94.2,4.9,262.4,66.48233,-46.29326,2122.08
2022-07-01 19:00:00,2022,1,7,19,-219.1,-2.6,92.2,4.0,261.0,66.48228,-46.29335,2122.08
2022-07-01 20:00:00,2022,1,7,20,-218.9,-3.1,92.4,4.1,291.3,66.48223,-46.29354,2122.08
2022-07-01 21:00:00,2022,1,7,21,-218.9,-3.2,95.2,2.2,294.7,66.48235,-46.29333,2122.08
2022-07-01 22:00:00,2022,1,7,22,-218.6,-3.1,94.1,0.7,286.6,66.48238,-46.29320,2122.08
2022-07-01 23:00:00,2022,1,7,23,-218.5,-3.4,95.8,0.8,249.6,66.48230,-46.29351,2122.08
2022-07-02 00:00:00,2022,2,7,0,-218.3,-3.7,97.3,3.4,292.7,66.48222,-46.29327,2122.06
2022-07-02 01:00:00,2022,2,7,1,-218.0,-4.4,97.5,2.6,273.1,66.48229,-46.29334,2122.06
2022-07-02 02:00:00,2022,2,7,2,-217.8,-4.6,97.5,1.5,276.3,66.48233,-46.29335,2122.06
2022-07-02 03:00:00,2022,2,7,3,-217.6,-4.8,97.4,1.7,285.8,66.48229,-46.29328,2122.06
2022-07-02 04:00:00,2022,2,7,4,-217.4,-5.2,97.0,0.9,290.6,66.48235,-46.29314,2122.06
2022-07-02 05:00:00,2022,2,7,5,-217.1,-5.5,96.8,1.0,287.4,66.48230,-46.29347,2122.06
2022-07-02 06:00:00,2022,2,7,6,-216.7,-5.4,96.7,1.5,312.5,66.48232,-46.29350,2122.06
2022-07-02 07:00:00,2022,2,7,7,-216.6,-5.4,96.4,1.3,321.0,66.48238,-46.29318,2122.06
2022-07-02 08:00:00,2022,2,7,8,-216.1,-5.4,96.2,1.2,286.0,66.48232,-46.29343,2122.06
2022-07-02 09:00:00,2022,2,7,9,-215.9,-5.1,95.5,1.1,252.5,66.48232,-46.29332,2122.06
2022-07-02 10:00:00,2022,2,7,10,-215.4,-4.4,95.6,2.4,284.0,66.48226,-46.29334,2122.06
2022-07-02 11:00:00,2022,2,7,11,-215.3,-5.1,94.7,1.4,253.7,66.48232,-46.29344,2122.06
2022-07-02 12:00:00,2022,2,7,12,-215.1,-4.2,94.3,3.4,307.5,66.48228,-46.29341,2122.06
2022-07-02 13:00:00,2022,2,7,13,-214.8,-3.8,91.7,2.3,286.0,66.48228,-46.29340,2122.06
2022-07-02 14:00:00,2022,2,7,14,-214.4,-3.4,88.4,2.3,281.1,66.48229,-46.29344,2122.06
2022-07-02 15:00:00,2022,2,7,15,-214.2,-2.9,89.8,3.1,271.7,66.48224,-46.29328,2122.06
2022-07-02 16:00:00,2022,2,7,16,-214.1,-2.7,84.4,3.4,267.5,66.48230,-46.29331,2122.06
2022-07-02 17:00:00,2022,2,7,17,-213.8,-2.7,89.0,2.8,291.0,66.48231,-46.29338,2122.06
2022-07-02 18:00:00,2022,2,7,18,-213.6,-2.9,84.6,3.0,270.7,66.48230,-46.29336,2122.06
2022-07-02 19:00:00,2022,2,7,19,-213.6,-3.1,85.9,2.6,251.2,66.48234,-46.29328,2122.06
2022-07-02 20:00:00,2022,2,7,20,-213.5,-3.1,88.2,2.1,308.7,66.48232,-46.29330,2122.06
2022-07-02 21:00:00,2022,2,7,21,-213.6,-2.3,82.2,0.0,343.1,66.48235,-46.29329,2122.06
2022-07-02 22:00:00,2022,2,7,22,-213.4,-3.9,89.7,2.1,285.6,66.48234,-46.29325,2122.06
2022-07-02 23:00:00,2022,2,7,23,-213.5,-4.0,90.4,0.5,304.0,66.48234,-46.29345,2122.06
2022-07-03 00:00:00,2022,3,7,0,-213.2,-4.4,91.9,1.2,195.3,66.48230,-46.29343,2122.05
2022-07-03 01:00:00,2022,3,7,1,-213.1,-4.9,91.2,1.1,241.6,66.48235,-46.29320,2122.05
2022-07-03 02:00:00,2022,3,7,2,-213.4,-5.3,92.1,1.7,157.2,66.48233,-46.29321,2122.05
2022-07-03 03:00:00,2022,3,7,3,-213.9,-6.2,95.8,2.9,159.6,66.48230,-46.29342,2122.05
2022-07-03 04:00:00,2022,3,7,4,-214.2,-6.3,96.9,3.7,152.1,66.48228,-46.29326,2122.05
2022-07-03 05:00:00,2022,3,7,5,-214.6,-6.5,97.5,4.4,109.2,66.48231,-46.29339,2122.05
2022-07-03 06:00:00,2022,3,7,6,-214.7,-6.8,95.7,5.5,133.6,66.48229,-46.29335,2122.05
2022-07-03 07:00:00,2022,3,7,7,-214.7,-6.9,95.1,5.8,170.7,66.48234,-46.29313,2122.05
2022-07-03 08:00:00,2022,3,7,8,-214.9,-6.8,94.7,6.0,183.2,66.48225,-46.29327,2122.05
2022-07-03 09:00:00,2022,3,7,9,-215.5,-6.5,93.3,6.8,151.7,66.48230,-46.29333,2122.05
2022-07-03 10:00:00,2022,3,7,10,-215.9,-6.6,92.2,6.7,137.3,66.48233,-46.29333,2122.05
2022-07-03 11:00:00,2022,3,7,11,-216.1,-6.3,90.8,7.2,150.0,66.48231,-46.29334,2122.05
2022-07-03 12:00:00,2022,3,7,12,-216.3,-5.9,88.3,7.7,152.3,66.48231,-46.29331,2122.05
2022-07-03 13:00:00,2022,3,7,13,-216.5,-4.9,84.3,7.9,149.5,66.48231,-46.29336,2122.05
2022-07-03 14:00:00,2022,3,7,14,-216.5,-3.7,82.4,7.1,162.3,66.48228,-46.29318,2122.05
2022-07-03 15:00:00,2022,3,7,15,-216.9,-1.9,79.5,6.3,177.0,66.48231,-46.29340,2122.05
2022-07-03 16:00:00,2022,3,7,16,-217.2,-0.6,80.2,5.8,174.9,66.48227,-46.29334,2122.05
2022-07-03 17:00:00,2022,3,7,17,-217.3,0.1,79.1,4.7,192.8,66.48227,-46.29333,2122.05
2022-07-03 18:00:00,2022,3,7,18,-217.2,0.5,80.9,4.8,205.8,66.48229,-46.29327,2122.05
2022-07-03 19:00:00,2022,3,7,19,-217.3,0.4,83.4,4.1,209.6,66.48234,-46.29332,2122.05
2022-07-03 20:00:00,2022,3,7,20,-217.7,0.1,88.0,4.2,200.3,66.48229,-46.29342,2122.05
2022-07-03 21:00:00,2022,3,7,21,-217.7,-0.3,91.3,4.3,197.4,66.48236,-46.29335,2122.05
2022-07-03 22:00:00,2022,3,7,22,-217.8,-1.0,92.9,3.2,170.9,66.48227,-46.29324,2122.05
2022-07-03 23:00:00,2022,3,7,23,-217.6,-2.4,98.7,6.7,211.1,66.48230,-46.29334,2122.05
2022-07-04 00:00:00,2022,4,7,0,-217.9,-3.7,97.1,5.2,171.3,66.48230,-46.29322,2122.04
2022-07-04 01:00:00,2022,4,7,1,-218.2,-5.2,96.7,4.9,170.4,66.48223,-46.29349,2122.04
2022-07-04 02:00:00,2022,4,7,2,-218.7,-7.3,94.8,5.3,167.3,66.48229,-46.29328,2122.04
2022-07-04 03:00:00,2022,4,7,3,-218.9,-8.4,93.2,6.2,162.6,66.48233,-46.29339,2122.04
2022-07-04 04:00:00,2022,4,7,4,-219.3,-8.2,94.3,5.7,154.9,66.48235,-46.29333,2122.04
2022-07-04 05:00:00,2022,4,7,5,-219.6,-8.5,94.2,6.3,165.0,66.48229,-46.29329,2122.04
2022-07-04 06:00:00,2022,4,7,6,-219.9,-8.4,93.0,6.1,162.9,66.48230,-46.29336,2122.04
2022-07-04 07:00:00,2022,4,7,7,-220.2,-8.4,91.2,5.7,155.8,66.48231,-46.29340,2122.04
2022-07-04 08:00:00,2022,4,7,8,-220.6,-7.0,92.4,5.6,162.6,66.48229,-46.29342,2122.04
2022-07-04 09:00:00,2022,4,7,9,-220.7,-2.6,93.1,4.3,168.5,66.48236,-46.29342,2122.04
2022-07-04 10:00:00,2022,4,7,10,-221.3,-0.8,91.1,4.8,173.0,66.48235,-46.29337,2122.04
2022-07-04 11:00:00,2022,4,7,11,-221.4,1.2,90.2,5.7,187.1,66.48233,-46.29342,2122.04
2022-07-04 12:00:00,2022,4,7,12,-221.5,0.9,91.0,6.9,182.2,66.48232,-46.29324,2122.04
2022-07-04 13:00:00,2022,4,7,13,-221.9,0.0,92.3,8.9,164.3,66.48230,-46.29326,2122.04
2022-07-04 14:00:00,2022,4,7,14,-222.1,0.5,91.0,8.4,165.2,66.48231,-46.29316,2122.04
2022-07-04 15:00:00,2022,4,7,15,-222.7,1.5,87.4,6.0,166.9,66.48237,-46.29336,2122.04
2022-07-04 16:00:00,2022,4,7,16,-222.8,1.8,87.0,5.7,178.8,66.48233,-46.29332,2122.04
2022-07-04 17:00:00,2022,4,7,17,-223.0,2.1,86.4,5.8,180.1,66.48233,-46.29329,2122.04
2022-07-04 18:00:00,2022,4,7,18,-223.1,2.0,87.3,5.5,187.1,66.48233,-46.29328,2122.04
2022-07-04 19:00:00,2022,4,7,19,-223.0,2.1,88.5,5.6,191.5,66.48234,-46.29333,2122.04
2022-07-04 20:00:00,2022,4,7,20,-223.1,1.8,90.1,4.9,166.3,66.48231,-46.29324,2122.04
2022-07-04 21:00:00,2022,4,7,21,-223.0,1.7,93.9,5.8,184.4,66.48232,-46.29336,2122.04
2022-07-04 22:00:00,2022,4,7,22,-223.1,1.3,96.1,5.0,188.8,66.48228,-46.29340,2122.04
2022-07-04 23:00:00,2022,4,7,23,-223.0,0.7,98.2,5.5,191.2,66.48232,-46.29333,2122.04
2022-07-05 00:00:00,2022,5,7,0,-223.0,0.8,98.2,4.9,211.6,66.48232,-46.29330,2122.02
2022-07-05 01:00:00,2022,5,7,1,-222.8,0.6,98.9,6.8,209.1,66.48233,-46.29333,2122.02
2022-07-05 02:00:00,2022,5,7,2,-222.8,0.4,100.0,7.8,216.0,66.48234,-46.29328,2122.02
2022-07-05 03:00:00,2022,5,7,3,-222.5,0.2,100.0,8.6,227.7,66.48234,-46.29336,2122.02
2022-07-05 04:00:00,2022,5,7,4,-222.4,0.2,100.0,8.2,233.6,66.48231,-46.29334,2122.02
2022-07-05 05:00:00,2022,5,7,5,-222.3,0.1,100.0,7.3,234.9,66.48233,-46.29339,2122.02
2022-07-05 06:00:00,2022,5,7,6,-221.8,-0.1,100.0,7.1,235.6,66.48231,-46.29337,2122.02
2022-07-05 07:00:00,2022,5,7,7,-221.4,0.0,100.0,6.5,234.9,66.48232,-46.29330,2122.02
2022-07-05 08:00:00,2022,5,7,8,-221.2,0.0,100.0,6.4,235.5,66.48233,-46.29333,2122.02
2022-07-05 09:00:00,2022,5,7,9,-221.2,0.0,100.0,7.7,238.0,66.48233,-46.29340,2122.02
2022-07-05 10:00:00,2022,5,7,10,-220.8,-0.1,98.5,6.9,233.4,66.48236,-46.29326,2122.02
2022-07-05 11:00:00,2022,5,7,11,-220.5,-0.2,96.5,7.2,242.1,66.48233,-46.29331,2122.02
2022-07-05 12:00:00,2022,5,7,12,-220.3,-0.1,94.1,6.5,248.8,66.48233,-46.29332,2122.02
2022-07-05 13:00:00,2022,5,7,13,-220.1,0.2,90.3,4.4,236.1,66.48230,-46.29332,2122.02
2022-07-05 14:00:00,2022,5,7,14,-220.0,0.3,90.5,3.8,204.8,66.48231,-46.29330,2122.02
2022-07-05 15:00:00,2022,5,7,15,-219.8,0.7,85.1,2.7,216.9,66.48232,-46.29325,2122.02
2022-07-05 16:00:00,2022,5,7,16,-219.7,1.5,84.0,1.0,142.4,66.48233,-46.29329,2122.02
2022-07-05 17:00:00,2022,5,7,17,-219.8,0.9,89.2,2.7,125.7,66.48235,-46.29324,2122.02
2022-07-05 18:00:00,2022,5,7,18,-219.9,1.4,89.2,3.7,161.7,66.48230,-46.29328,2122.02
2022-07-05 19:00:00,2022,5,7,19,-220.0,1.4,84.8,5.2,153.3,66.48234,-46.29330,2122.02
2022-07-05 20:00:00,2022,5,7,20,-220.2,1.2,86.7,3.0,143.1,66.48232,-46.29325,2122.02
2022-07-05 21:00:00,2022,5,7,21,-220.0,0.4,91.9,3.5,118.3,66.48232,-46.29332,2122.02
2022-07-05 22:00:00,2022,5,7,22,-220.1,0.2,90.9,3.8,111.0,66.48233,-46.29332,2122.02
2022-07-05 23:00:00,2022,5,7,23,-220.1,-0.7,92.1,5.4,133.4,66.48234,-46.29328,2122.02
2022-07-06 00:00:00,2022,6,7,0,-220.2,-1.9,94.1,5.3,120.5,66.48234,-46.29335,2122.01
2022-07-06 01:00:00,2022,6,7,1,-220.0,-2.8,91.1,6.0,147.9,66.48230,-46.29332,2122.01
2022-07-06 02:00:00,2022,6,7,2,-220.2,-3.9,88.9,7.2,138.3,66.48234,-46.29332,2122.01
2022-07-06 03:00:00,2022,6,7,3,-220.8,-4.5,87.6,8.7,155.5,66.48230,-46.29329,2122.01
2022-07-06 04:00:00,2022,6,7,4,-221.0,-5.0,88.4,7.6,150.0,66.48230,-46.29327,2122.01
2022-07-06 05:00:00,2022,6,7,5,-221.3,-5.3,89.1,6.8,153.8,66.48231,-46.29335,2122.01
2022-07-06 06:00:00,2022,6,7,6,-221.2,-5.6,88.4,6.9,159.5,66.48233,-46.29329,2122.01
2022-07-06 07:00:00,2022,6,7,7,-221.0,-4.4,89.6,6.9,155.6,66.48231,-46.29336,2122.01
2022-07-06 08:00:00,2022,6,7,8,-221.0,-2.2,89.2,6.7,175.4,66.48231,-46.29337,2122.01
2022-07-06 09:00:00,2022,6,7,9,-220.9,-2.1,87.9,7.6,167.2,66.48219,-46.29321,2122.01
2022-07-06 10:00:00,2022,6,7,10,-221.0,-2.2,86.4,8.8,159.5,66.48234,-46.29329,2122.01
2022-07-06 11:00:00,2022,6,7,11,-221.2,-1.6,86.2,8.7,162.4,66.48230,-46.29332,2122.01
2022-07-06 12:00:00,2022,6,7,12,-221.1,-1.0,86.8,7.8,161.8,66.48233,-46.29332,2122.01
2022-07-06 13:00:00,2022,6,7,13,-221.1,0.0,84.5,7.7,172.5,66.48233,-46.29328,2122.01
2022-07-06 14:00:00,2022,6,7,14,-220.9,0.4,81.9,7.4,185.3,66.48231,-46.29335,2122.01
2022-07-06 15:00:00,2022,6,7,15,-220.8,0.0,82.4,6.4,186.0,66.48232,-46.29330,2122.01
2022-07-06 16:00:00,2022,6,7,16,-220.9,0.1,83.0,5.3,213.5,66.48233,-46.29331,2122.01
2022-07-06 17:00:00,2022,6,7,17,-221.1,0.4,79.9,2.8,238.1,66.48233,-46.29329,2122.01
2022-07-06 18:00:00,2022,6,7,18,-221.1,1.0,78.6,1.2,298.3,66.48234,-46.29336,2122.01
2022-07-06 19:00:00,2022,6,7,19,-221.0,1.6,75.2,0.3,236.9,66.48236,-46.29330,2122.01
2022-07-06 20:00:00,2022,6,7,20,-221.1,-0.2,82.8,1.8,271.3,66.48235,-46.29324,2122.01
2022-07-06 21:00:00,2022,6,7,21,-221.0,-1.1,90.0,1.9,283.5,66.48234,-46.29335,2122.01
2022-07-06 22:00:00,2022,6,7,22,-221.2,-1.3,91.4,1.5,293.8,66.48232,-46.29332,2122.01
2022-07-06 23:00:00,2022,6,7,23,-221.1,-1.5,88.3,0.0,268.9,66.48234,-46.29329,2122.01
2022-07-07 00:00:00,2022,7,7,0,-221.2,-2.2,91.2,2.8,292.9,66.48235,-46.29331,2122.00
2022-07-07 01:00:00,2022,7,7,1,-221.2,-2.7,93.3,0.7,294.0,66.48233,-46.29332,2122.00
2022-07-07 02:00:00,2022,7,7,2,-221.2,-3.0,94.4,1.2,294.4,66.48233,-46.29327,2122.00
2022-07-07 03:00:00,2022,7,7,3,-221.4,-3.4,97.5,1.7,317.7,66.48231,-46.29333,2122.00
2022-07-07 04:00:00,2022,7,7,4,-221.6,-3.7,98.1,1.5,332.7,66.48229,-46.29336,2122.00
2022-07-07 05:00:00,2022,7,7,5,-221.6,-4.1,100.0,2.2,332.1,66.48231,-46.29325,2122.00
2022-07-07 06:00:00,2022,7,7,6,-221.6,-3.8,98.8,1.2,354.5,66.48231,-46.29327,2122.00
2022-07-07 07:00:00,2022,7,7,7,-221.4,-3.5,98.5,0.7,270.2,66.48230,-46.29335,2122.00
2022-07-07 08:00:00,2022,7,7,8,-221.0,-4.3,97.2,3.1,340.3,66.48228,-46.29324,2122.00
2022-07-07 09:00:00,2022,7,7,9,-220.8,-4.1,96.6,1.6,317.3,66.48227,-46.29336,2122.00
2022-07-07 10:00:00,2022,7,7,10,-220.4,-3.8,96.4,1.8,351.6,66.48233,-46.29327,2122.00
2022-07-07 11:00:00,2022,7,7,11,-220.2,-3.2,96.2,1.4,348.8,66.48228,-46.29331,2122.00
2022-07-07 12:00:00,2022,7,7,12,-219.9,-2.6,95.1,1.4,331.3,66.48232,-46.29328,2122.00
2022-07-07 13:00:00,2022,7,7,13,-219.6,-2.7,95.2,2.3,334.3,66.48233,-46.29327,2122.00
2022-07-07 14:00:00,2022,7,7,14,-219.1,-2.9,95.4,2.6,321.6,66.48232,-46.29335,2122.00
2022-07-07 15:00:00,2022,7,7,15,-219.0,-2.6,94.9,2.4,296.3,66.48233,-46.29340,2122.00
2022-07-07 16:00:00,2022,7,7,16,-218.7,-2.8,94.9,3.0,288.1,66.48239,-46.29333,2122.00
2022-07-07 17:00:00,2022,7,7,17,-218.1,-2.5,94.4,3.9,290.5,66.48235,-46.29330,2122.00
2022-07-07 18:00:00,2022,7,7,18,-217.6,-2.9,94.7,3.8,290.6,66.48231,-46.29330,2122.00
2022-07-07 19:00:00,2022,7,7,19,-217.1,-3.4,94.0,2.7,273.6,66.48237,-46.29329,2122.00
2022-07-07 20:00:00,2022,7,7,20,-216.6,-3.3,91.8,2.3,262.7,66.48232,-46.29327,2122.00
2022-07-07 21:00:00,2022,7,7,21,-216.2,-3.3,94.5,1.8,289.2,66.48237,-46.29330,2122.00
2022-07-07 22:00:00,2022,7,7,22,-216.1,-3.5,94.7,2.0,278.8,66.48232,-46.29336,2122.00
2022-07-07 23:00:00,2022,7,7,23,-215.9,-3.2,89.3,1.1,246.1,66.48232,-46.29335,2122.00
2022-07-08 00:00:00,2022,8,7,0,-215.6,-3.4,91.0,1.2,241.0,66.48232,-46.29327,2121.98
2022-07-08 01:00:00,2022,8,7,1,-215.4,-3.9,91.8,1.3,270.2,66.48235,-46.29332,2121.98
2022-07-08 02:00:00,2022,8,7,2,-215.5,-4.3,93.6,1.7,163.4,66.48231,-46.29333,2121.98
2022-07-08 03:00:00,2022,8,7,3,-215.3,-4.6,94.7,1.1,215.5,66.48230,-46.29333,2121.98
2022-07-08 04:00:00,2022,8,7,4,-215.3,-4.9,94.2,3.3,172.2,66.48232,-46.29317,2121.98
2022-07-08 05:00:00,2022,8,7,5,-215.4,-5.0,95.4,3.4,155.4,66.48234,-46.29337,2121.98
2022-07-08 06:00:00,2022,8,7,6,-215.3,-5.6,96.2,3.7,122.6,66.48232,-46.29341,2121.98
2022-07-08 07:00:00,2022,8,7,7,-215.5,-5.3,95.7,5.4,140.8,66.48232,-46.29330,2121.98
2022-07-08 08:00:00,2022,8,7,8,-215.7,-5.7,94.8,5.5,142.3,66.48229,-46.29331,2121.98
2022-07-08 09:00:00,2022,8,7,9,-215.9,-6.5,96.2,6.5,131.8,66.48227,-46.29336,2121.98
2022-07-08 10:00:00,2022,8,7,10,-216.3,-6.2,94.3,6.3,118.6,66.48231,-46.29338,2121.98
2022-07-08 11:00:00,2022,8,7,11,-216.7,-4.8,94.9,6.4,116.7,66.48233,-46.29337,2121.98
2022-07-08 12:00:00,2022,8,7,12,-216.9,-2.6,87.0,6.3,129.5,66.48233,-46.29334,2121.98
2022-07-08 13:00:00,2022,8,7,13,-216.8,-1.9,80.3,7.9,150.4,66.48231,-46.29341,2121.98
2022-07-08 14:00:00,2022,8,7,14,-217.0,-1.5,81.5,6.9,150.1,66.48231,-46.29334,2121.98
2022-07-08 15:00:00,2022,8,7,15,-217.6,-1.1,82.8,6.9,150.7,66.48233,-46.29337,2121.98
2022-07-08 16:00:00,2022,8,7,16,-217.9,-0.6,80.3,6.6,148.5,66.48236,-46.29329,2121.98
2022-07-08 17:00:00,2022,8,7,17,-218.4,0.0,83.2,6.4,157.0,66.48229,-46.29331,2121.98
2022-07-08 18:00:00,2022,8,7,18,-218.7,0.5,83.3,5.4,165.7,66.48233,-46.29337,2121.98
2022-07-08 19:00:00,2022,8,7,19,-218.8,0.6,85.0,5.3,168.5,66.48231,-46.29326,2121.98
2022-07-08 20:00:00,2022,8,7,20,-219.2,0.5,86.1,5.1,157.4,66.48234,-46.29333,2121.98
2022-07-08 21:00:00,2022,8,7,21,-219.3,0.0,87.3,4.8,153.0,66.48234,-46.29336,2121.98
2022-07-08 22:00:00,2022,8,7,22,-219.5,-0.7,88.9,4.9,162.8,66.48235,-46.29331,2121.98
2022-07-08 23:00:00,2022,8,7,23,-219.5,-1.4,89.2,5.5,162.9,66.48234,-46.29335,2121.98
2022-07-09 00:00:00,2022,9,7,0,-219.5,-2.3,88.9,6.5,162.1,66.48231,-46.29336,2121.97
2022-07-09 01:00:00,2022,9,7,1,-219.8,-3.6,88.5,6.6,156.0,66.48231,-46.29338,2121.97
2022-07-09 02:00:00,2022,9,7,2,-220.2,-5.0,88.8,7.0,164.6,66.48230,-46.29328,2121.97
2022-07-09 03:00:00,2022,9,7,3,-220.3,-6.4,88.5,8.2,156.9,66.48234,-46.29341,2121.97
2022-07-09 04:00:00,2022,9,7,4,-220.5,-7.0,87.3,7.6,160.8,66.48232,-46.29344,2121.97
2022-07-09 05:00:00,2022,9,7,5,-220.6,-7.9,86.3,8.6,151.0,66.48231,-46.29334,2121.97
2022-07-09 06:00:00,2022,9,7,6,-220.6,-7.9,86.7,8.2,146.9,66.48229,-46.29332,2121.97
2022-07-09 07:00:00,2022,9,7,7,-220.8,-7.2,87.0,8.3,152.2,66.48228,-46.29335,2121.97
2022-07-09 08:00:00,2022,9,7,8,-221.0,-6.7,85.1,8.6,147.3,66.48229,-46.29323,2121.97
2022-07-09 09:00:00,2022,9,7,9,-221.1,-6.1,85.5,8.6,155.8,66.48233,-46.29339,2121.97
2022-07-09 10:00:00,2022,9,7,10,-221.2,-5.3,86.6,7.9,164.7,66.48225,-46.29331,2121.97
2022-07-09 11:00:00,2022,9,7,11,-221.2,-4.4,86.1,8.1,170.6,66.48230,-46.29336,2121.97
2022-07-09 12:00:00,2022,9,7,12,-221.2,-2.6,85.5,7.8,180.5,66.48233,-46.29330,2121.97
2022-07-09 13:00:00,2022,9,7,13,-221.0,-1.9,85.9,7.8,179.7,66.48233,-46.29327,2121.97
2022-07-09 14:00:00,2022,9,7,14,-220.8,-1.5,83.2,7.9,180.5,66.48233,-46.29340,2121.97
2022-07-09 15:00:00,2022,9,7,15,-220.9,-1.3,86.7,7.0,172.7,66.48225,-46.29342,2121.97
2022-07-09 16:00:00,2022,9,7,16,-221.0,-0.9,86.5,7.4,179.6,66.48233,-46.29330,2121.97
2022-07-09 17:00:00,2022,9,7,17,-221.2,-1.0,88.6,6.0,171.2,66.48233,-46.29339,2121.97
2022-07-09 18:00:00,2022,9,7,18,-221.2,-0.6,88.4,6.1,179.1,66.48230,-46.29317,2121.97
2022-07-09 19:00:00,2022,9,7,19,-221.2,-0.7,87.4,5.7,162.2,66.48232,-46.29316,2121.97
2022-07-09 20:00:00,2022,9,7,20,-221.2,-0.9,89.4,4.9,175.9,66.48233,-46.29331,2121.97
2022-07-09 21:00:00,2022,9,7,21,-221.1,-0.9,87.3,4.3,167.4,66.48228,-46.29331,2121.97
2022-07-09 22:00:00,2022,9,7,22,-221.2,-1.2,90.7,2.7,190.7,66.48233,-46.29329,2121.97
2022-07-09 23:00:00,2022,9,7,23,-221.3,-1.6,93.0,2.7,222.7,66.48230,-46.29331,2121.97
2022-07-10 00:00:00,2022,10,7,0,-221.1,-2.3,95.3,1.9,244.0,66.48233,-46.29336,2121.96
2022-07-10 01:00:00,2022,10,7,1,-221.0,-3.1,98.5,4.2,285.1,66.48231,-46.29338,2121.96
2022-07-10 02:00:00,2022,10,7,2,-221.1,-3.7,98.3,2.8,292.0,66.48228,-46.29330,2121.96
2022-07-10 03:00:00,2022,10,7,3,-221.3,-3.6,98.6,2.3,303.6,66.48231,-46.29336,2121.96
2022-07-10 04:00:00,2022,10,7,4,-221.5,-3.7,98.6,2.1,299.8,66.48229,-46.29338,2121.96
2022-07-10 05:00:00,2022,10,7,5,-221.7,-3.6,98.2,2.0,288.5,66.48229,-46.29334,2121.96
2022-07-10 06:00:00,2022,10,7,6,-221.5,-3.7,98.7,1.3,317.4,66.48230,-46.29332,2121.96
2022-07-10 07:00:00,2022,10,7,7,-221.8,-3.9,98.5,2.2,299.2,66.48232,-46.29335,2121.96
2022-07-10 08:00:00,2022,10,7,8,-221.8,-3.6,98.0,1.9,289.4,66.48234,-46.29343,2121.96
2022-07-10 09:00:00,2022,10,7,9,-221.9,-3.5,97.8,1.6,268.5,66.48235,-46.29339,2121.96
2022-07-10 10:00:00,2022,10,7,10,-222.1,-3.2,97.3,3.2,293.8,66.48231,-46.29349,2121.96
2022-07-10 11:00:00,2022,10,7,11,-222.2,-2.6,96.3,3.3,315.7,66.48230,-46.29323,2121.96
2022-07-10 12:00:00,2022,10,7,12,-222.4,-2.3,94.4,4.6,309.5,66.48236,-46.29339,2121.96
2022-07-10 13:00:00,2022,10,7,13,-222.3,-2.4,95.2,4.9,306.7,66.48232,-46.29330,2121.96
2022-07-10 14:00:00,2022,10,7,14,-222.4,-1.9,91.6,4.5,306.6,66.48234,-46.29333,2121.96
2022-07-10 15:00:00,2022,10,7,15,-222.7,-1.7,92.6,4.0,324.7,66.48237,-46.29328,2121.96
2022-07-10 16:00:00,2022,10,7,16,-223.0,-1.9,90.7,4.3,327.1,66.48235,-46.29325,2121.96
