date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-47.1,5.249,nan,3.5,181.2,64.48378,-49.54971,505.01
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 06:00:00,2022,1,7,6,-48.4,6.386,nan,3.8,203.7,64.48379,-49.54973,505.01
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 12:00:00,2022,1,7,12,-48.3,7.6,nan,2.4,182.8,64.48378,-49.54973,505.01
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 18:00:00,2022,1,7,18,-47.1,5.225,nan,4.1,203.3,64.48380,-49.54974,505.01
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,505.01
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,505.01
2022-07-02 00:00:00,2022,2,7,0,-44.9,4.931,nan,2.9,243.9,64.48378,-49.54973,504.96
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 06:00:00,2022,2,7,6,-42.1,3.141,nan,1.1,155.5,64.48379,-49.54975,504.96
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 12:00:00,2022,2,7,12,-41.1,2.696,nan,2.1,171.9,64.48379,-49.54977,504.96
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 18:00:00,2022,2,7,18,-41.3,4.866,nan,4.8,145.4,64.48380,-49.54973,504.96
2022-07-02 19:00:00,2022,2,7,19,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 20:00:00,2022,2,7,20,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 21:00:00,2022,2,7,21,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 22:00:00,2022,2,7,22,nan,,nan,nan,nan,nan,nan,504.96
2022-07-02 23:00:00,2022,2,7,23,nan,,nan,nan,nan,nan,nan,504.96
2022-07-03 00:00:00,2022,3,7,0,-43.2,3.92,nan,4.2,155.1,64.48378,-49.54971,504.91
2022-07-03 01:00:00,2022,3,7,1,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 02:00:00,2022,3,7,2,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 03:00:00,2022,3,7,3,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 04:00:00,2022,3,7,4,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 05:00:00,2022,3,7,5,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 06:00:00,2022,3,7,6,-45.2,4.66,nan,3.3,170.6,64.48379,-49.54974,504.91
2022-07-03 07:00:00,2022,3,7,7,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 08:00:00,2022,3,7,8,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 09:00:00,2022,3,7,9,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 10:00:00,2022,3,7,10,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 11:00:00,2022,3,7,11,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 12:00:00,2022,3,7,12,-47.5,4.0,nan,3.9,149.6,64.48378,-49.54975,504.91
2022-07-03 13:00:00,2022,3,7,13,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 14:00:00,2022,3,7,14,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 15:00:00,2022,3,7,15,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 16:00:00,2022,3,7,16,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 17:00:00,2022,3,7,17,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 18:00:00,2022,3,7,18,-49.7,5.54,nan,5.8,148.0,64.48380,-49.54973,504.91
2022-07-03 19:00:00,2022,3,7,19,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 20:00:00,2022,3,7,20,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 21:00:00,2022,3,7,21,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 22:00:00,2022,3,7,22,nan,,nan,nan,nan,nan,nan,504.91
2022-07-03 23:00:00,2022,3,7,23,nan,,nan,nan,nan,nan,nan,504.91
2022-07-04 00:00:00,2022,4,7,0,-51.2,10.69,nan,4.9,156.8,64.48379,-49.54975,504.86
2022-07-04 01:00:00,2022,4,7,1,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 02:00:00,2022,4,7,2,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 03:00:00,2022,4,7,3,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 04:00:00,2022,4,7,4,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 05:00:00,2022,4,7,5,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 06:00:00,2022,4,7,6,-54.7,9.15,nan,4.9,135.9,64.48378,-49.54975,504.86
2022-07-04 07:00:00,2022,4,7,7,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 08:00:00,2022,4,7,8,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 09:00:00,2022,4,7,9,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 10:00:00,2022,4,7,10,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 11:00:00,2022,4,7,11,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 12:00:00,2022,4,7,12,-56.6,6.865,nan,5.4,146.0,64.48378,-49.54978,504.86
2022-07-04 13:00:00,2022,4,7,13,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 14:00:00,2022,4,7,14,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 15:00:00,2022,4,7,15,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 16:00:00,2022,4,7,16,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 17:00:00,2022,4,7,17,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 18:00:00,2022,4,7,18,-57.7,10.11,nan,6.6,171.7,64.48380,-49.54976,504.86
2022-07-04 19:00:00,2022,4,7,19,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 20:00:00,2022,4,7,20,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 21:00:00,2022,4,7,21,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 22:00:00,2022,4,7,22,nan,,nan,nan,nan,nan,nan,504.86
2022-07-04 23:00:00,2022,4,7,23,nan,,nan,nan,nan,nan,nan,504.86
2022-07-05 00:00:00,2022,5,7,0,-54.8,4.297,nan,3.5,141.0,64.48379,-49.54977,504.81
2022-07-05 01:00:00,2022,5,7,1,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 02:00:00,2022,5,7,2,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 03:00:00,2022,5,7,3,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 04:00:00,2022,5,7,4,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 05:00:00,2022,5,7,5,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 06:00:00,2022,5,7,6,-52.4,6.68,nan,3.8,202.9,64.48379,-49.54977,504.81
2022-07-05 07:00:00,2022,5,7,7,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 08:00:00,2022,5,7,8,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 09:00:00,2022,5,7,9,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 10:00:00,2022,5,7,10,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 11:00:00,2022,5,7,11,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 12:00:00,2022,5,7,12,-52.0,5.411,nan,3.2,147.3,64.48380,-49.54978,504.81
2022-07-05 13:00:00,2022,5,7,13,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 14:00:00,2022,5,7,14,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 15:00:00,2022,5,7,15,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 16:00:00,2022,5,7,16,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 17:00:00,2022,5,7,17,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 18:00:00,2022,5,7,18,-53.0,4.508,nan,4.8,166.6,64.48378,-49.54975,504.81
2022-07-05 19:00:00,2022,5,7,19,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 20:00:00,2022,5,7,20,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 21:00:00,2022,5,7,21,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 22:00:00,2022,5,7,22,nan,,nan,nan,nan,nan,nan,504.81
2022-07-05 23:00:00,2022,5,7,23,nan,,nan,nan,nan,nan,nan,504.81
2022-07-06 00:00:00,2022,6,7,0,-53.8,5.144,nan,3.9,179.6,64.48379,-49.54973,504.76
2022-07-06 01:00:00,2022,6,7,1,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 02:00:00,2022,6,7,2,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 03:00:00,2022,6,7,3,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 04:00:00,2022,6,7,4,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 05:00:00,2022,6,7,5,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 06:00:00,2022,6,7,6,-51.6,5.332,nan,2.2,275.6,64.48379,-49.54977,504.76
2022-07-06 07:00:00,2022,6,7,7,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 08:00:00,2022,6,7,8,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 09:00:00,2022,6,7,9,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 10:00:00,2022,6,7,10,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 11:00:00,2022,6,7,11,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 12:00:00,2022,6,7,12,-49.3,2.803,nan,1.9,157.1,64.48380,-49.54979,504.76
2022-07-06 13:00:00,2022,6,7,13,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 14:00:00,2022,6,7,14,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 15:00:00,2022,6,7,15,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 16:00:00,2022,6,7,16,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 17:00:00,2022,6,7,17,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 18:00:00,2022,6,7,18,-49.7,2.885,nan,2.7,174.5,64.48378,-49.54975,504.76
2022-07-06 19:00:00,2022,6,7,19,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 20:00:00,2022,6,7,20,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 21:00:00,2022,6,7,21,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 22:00:00,2022,6,7,22,nan,,nan,nan,nan,nan,nan,504.76
2022-07-06 23:00:00,2022,6,7,23,nan,,nan,nan,nan,nan,nan,504.76
2022-07-07 00:00:00,2022,7,7,0,-49.7,2.466,nan,2.5,180.2,64.48379,-49.54976,504.70
2022-07-07 01:00:00,2022,7,7,1,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 02:00:00,2022,7,7,2,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 03:00:00,2022,7,7,3,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 04:00:00,2022,7,7,4,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 05:00:00,2022,7,7,5,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 06:00:00,2022,7,7,6,-48.5,1.918,nan,2.7,181.6,64.48377,-49.54978,504.70
2022-07-07 07:00:00,2022,7,7,7,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 08:00:00,2022,7,7,8,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 09:00:00,2022,7,7,9,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 10:00:00,2022,7,7,10,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 11:00:00,2022,7,7,11,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 12:00:00,2022,7,7,12,-46.6,3.16,nan,2.5,178.7,64.48379,-49.54982,504.70
2022-07-07 13:00:00,2022,7,7,13,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 14:00:00,2022,7,7,14,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 15:00:00,2022,7,7,15,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 16:00:00,2022,7,7,16,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 17:00:00,2022,7,7,17,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 18:00:00,2022,7,7,18,-44.1,3.538,nan,1.6,136.3,64.48380,-49.54976,504.70
2022-07-07 19:00:00,2022,7,7,19,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 20:00:00,2022,7,7,20,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 21:00:00,2022,7,7,21,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 22:00:00,2022,7,7,22,nan,,nan,nan,nan,nan,nan,504.70
2022-07-07 23:00:00,2022,7,7,23,nan,,nan,nan,nan,nan,nan,504.70
2022-07-08 00:00:00,2022,8,7,0,-43.3,4.238,nan,2.8,182.3,64.48379,-49.54978,504.65
2022-07-08 01:00:00,2022,8,7,1,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 02:00:00,2022,8,7,2,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 03:00:00,2022,8,7,3,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 04:00:00,2022,8,7,4,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 05:00:00,2022,8,7,5,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 06:00:00,2022,8,7,6,-44.4,3.016,nan,3.0,135.2,64.48380,-49.54980,504.65
2022-07-08 07:00:00,2022,8,7,7,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 08:00:00,2022,8,7,8,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 09:00:00,2022,8,7,9,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 10:00:00,2022,8,7,10,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 11:00:00,2022,8,7,11,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 12:00:00,2022,8,7,12,-48.0,4.947,nan,0.8,140.8,64.48378,-49.54980,504.65
2022-07-08 13:00:00,2022,8,7,13,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 14:00:00,2022,8,7,14,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 15:00:00,2022,8,7,15,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 16:00:00,2022,8,7,16,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 17:00:00,2022,8,7,17,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 18:00:00,2022,8,7,18,-50.7,4.087,nan,3.6,145.9,64.48379,-49.54976,504.65
2022-07-08 19:00:00,2022,8,7,19,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 20:00:00,2022,8,7,20,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 21:00:00,2022,8,7,21,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 22:00:00,2022,8,7,22,nan,,nan,nan,nan,nan,nan,504.65
2022-07-08 23:00:00,2022,8,7,23,nan,,nan,nan,nan,nan,nan,504.65
2022-07-09 00:00:00,2022,9,7,0,-51.5,3.478,nan,3.9,180.6,64.48380,-49.54975,504.60
2022-07-09 01:00:00,2022,9,7,1,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 02:00:00,2022,9,7,2,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 03:00:00,2022,9,7,3,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 04:00:00,2022,9,7,4,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 05:00:00,2022,9,7,5,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 06:00:00,2022,9,7,6,-52.2,3.142,nan,3.1,166.1,64.48380,-49.54983,504.60
2022-07-09 07:00:00,2022,9,7,7,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 08:00:00,2022,9,7,8,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 09:00:00,2022,9,7,9,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 10:00:00,2022,9,7,10,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 11:00:00,2022,9,7,11,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 12:00:00,2022,9,7,12,-51.3,3.665,nan,3.2,150.3,64.48379,-49.54980,504.60
2022-07-09 13:00:00,2022,9,7,13,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 14:00:00,2022,9,7,14,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 15:00:00,2022,9,7,15,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 16:00:00,2022,9,7,16,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 17:00:00,2022,9,7,17,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 18:00:00,2022,9,7,18,-50.5,5.644,nan,1.0,160.0,64.48378,-49.54978,504.60
2022-07-09 19:00:00,2022,9,7,19,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 20:00:00,2022,9,7,20,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 21:00:00,2022,9,7,21,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 22:00:00,2022,9,7,22,nan,,nan,nan,nan,nan,nan,504.60
2022-07-09 23:00:00,2022,9,7,23,nan,,nan,nan,nan,nan,nan,504.60
2022-07-10 00:00:00,2022,10,7,0,-48.9,2.424,nan,1.4,148.7,64.48377,-49.54979,504.55
2022-07-10 01:00:00,2022,10,7,1,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 02:00:00,2022,10,7,2,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 03:00:00,2022,10,7,3,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 04:00:00,2022,10,7,4,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 05:00:00,2022,10,7,5,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 06:00:00,2022,10,7,6,-48.8,1.202,nan,1.3,175.9,64.48380,-49.54980,504.55
2022-07-10 07:00:00,2022,10,7,7,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 08:00:00,2022,10,7,8,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 09:00:00,2022,10,7,9,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 10:00:00,2022,10,7,10,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 11:00:00,2022,10,7,11,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 12:00:00,2022,10,7,12,-49.7,2.169,nan,1.3,185.2,64.48379,-49.54980,504.55
2022-07-10 13:00:00,2022,10,7,13,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 14:00:00,2022,10,7,14,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 15:00:00,2022,10,7,15,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 16:00:00,2022,10,7,16,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 17:00:00,2022,10,7,17,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 18:00:00,2022,10,7,18,-51.6,2.612,nan,1.6,162.3,64.48380,-49.54979,504.55
2022-07-10 19:00:00,2022,10,7,19,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 20:00:00,2022,10,7,20,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 21:00:00,2022,10,7,21,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 22:00:00,2022,10,7,22,nan,,nan,nan,nan,nan,nan,504.55
2022-07-10 23:00:00,2022,10,7,23,nan,,nan,nan,nan,nan,nan,504.55
2022-07-11 00:00:00,2022,11,7,0,-52.7,2.446,nan,2.2,151.5,64.48378,-49.54979,504.50
2022-07-11 01:00:00,2022,11,7,1,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 02:00:00,2022,11,7,2,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 03:00:00,2022,11,7,3,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 04:00:00,2022,11,7,4,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 05:00:00,2022,11,7,5,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 06:00:00,2022,11,7,6,-54.7,0.759,nan,2.3,147.8,64.48380,-49.54979,504.50
2022-07-11 07:00:00,2022,11,7,7,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 08:00:00,2022,11,7,8,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 09:00:00,2022,11,7,9,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 10:00:00,2022,11,7,10,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 11:00:00,2022,11,7,11,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 12:00:00,2022,11,7,12,-55.1,3.013,nan,0.8,188.2,64.48380,-49.54981,504.50
2022-07-11 13:00:00,2022,11,7,13,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 14:00:00,2022,11,7,14,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 15:00:00,2022,11,7,15,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 16:00:00,2022,11,7,16,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 17:00:00,2022,11,7,17,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 18:00:00,2022,11,7,18,-55.1,2.632,nan,2.3,156.5,64.48378,-49.54976,504.50
2022-07-11 19:00:00,2022,11,7,19,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 20:00:00,2022,11,7,20,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 21:00:00,2022,11,7,21,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 22:00:00,2022,11,7,22,nan,,nan,nan,nan,nan,nan,504.50
2022-07-11 23:00:00,2022,11,7,23,nan,,nan,nan,nan,nan,nan,504.50
2022-07-12 00:00:00,2022,12,7,0,-52.7,2.572,nan,2.1,165.7,64.48379,-49.54982,504.45
2022-07-12 01:00:00,2022,12,7,1,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 02:00:00,2022,12,7,2,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 03:00:00,2022,12,7,3,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 04:00:00,2022,12,7,4,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 05:00:00,2022,12,7,5,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 06:00:00,2022,12,7,6,-50.8,1.497,nan,0.8,171.4,64.48379,-49.54981,504.45
2022-07-12 07:00:00,2022,12,7,7,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 08:00:00,2022,12,7,8,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 09:00:00,2022,12,7,9,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 10:00:00,2022,12,7,10,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 11:00:00,2022,12,7,11,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 12:00:00,2022,12,7,12,-48.2,2.234,nan,1.6,153.0,64.48380,-49.54981,504.45
2022-07-12 13:00:00,2022,12,7,13,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 14:00:00,2022,12,7,14,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 15:00:00,2022,12,7,15,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 16:00:00,2022,12,7,16,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 17:00:00,2022,12,7,17,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 18:00:00,2022,12,7,18,-47.1,3.518,nan,3.5,156.5,64.48378,-49.54978,504.45
2022-07-12 19:00:00,2022,12,7,19,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 20:00:00,2022,12,7,20,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 21:00:00,2022,12,7,21,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 22:00:00,2022,12,7,22,nan,,nan,nan,nan,nan,nan,504.45
2022-07-12 23:00:00,2022,12,7,23,nan,,nan,nan,nan,nan,nan,504.45
2022-07-13 00:00:00,2022,13,7,0,-44.6,1.939,nan,1.8,168.3,64.48378,-49.54982,504.40
2022-07-13 01:00:00,2022,13,7,1,nan,,nan,nan,nan,nan,nan,504.40
2022-07-13 02:00:00,2022,13,7,2,nan,,nan,nan,nan,nan,nan,504.40
2022-07-13 03:00:00,2022,13,7,3,nan,,nan,nan,nan,nan,nan,504.40
2022-07-13 04:00:00,2022,13,7,4,nan,,nan,nan,nan,nan,nan,504.40
2022-07-13 05:00:00,2022,13,7,5,nan,,nan,nan,nan,nan,nan,504.40
2022-07-13 06:00:00,2022,13,7,6,-44.3,2.509,nan,2.8,170.4,64.48379,-49.54982,504.40
2022-07-13 07:00:00,2022,13,7,7,nan,,nan,nan,nan,nan,nan,504.40
