date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-42.1,3.852,77.5,3.4,15.2,nan,nan,nan
2022-07-01 01:00:00,2022,1,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 03:00:00,2022,1,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 04:00:00,2022,1,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 05:00:00,2022,1,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 06:00:00,2022,1,7,6,-41.1,4.443,75.9,3.2,26.0,nan,nan,nan
2022-07-01 07:00:00,2022,1,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 08:00:00,2022,1,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 09:00:00,2022,1,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 10:00:00,2022,1,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 11:00:00,2022,1,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 12:00:00,2022,1,7,12,-39.5,5.219,76.0,4.8,352.6,nan,nan,nan
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 14:00:00,2022,1,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 15:00:00,2022,1,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 16:00:00,2022,1,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 17:00:00,2022,1,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 18:00:00,2022,1,7,18,-40.5,4.4,83.4,4.8,351.6,nan,nan,nan
2022-07-01 19:00:00,2022,1,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 20:00:00,2022,1,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 21:00:00,2022,1,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 22:00:00,2022,1,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-01 23:00:00,2022,1,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 00:00:00,2022,2,7,0,-41.4,3.957,83.2,3.5,36.4,nan,nan,nan
2022-07-02 01:00:00,2022,2,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 02:00:00,2022,2,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 03:00:00,2022,2,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 04:00:00,2022,2,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 05:00:00,2022,2,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 06:00:00,2022,2,7,6,-41.6,4.232,76.4,3.7,12.0,nan,nan,nan
2022-07-02 07:00:00,2022,2,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 08:00:00,2022,2,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 09:00:00,2022,2,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 10:00:00,2022,2,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 11:00:00,2022,2,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 12:00:00,2022,2,7,12,-42.0,4.544,63.0,3.8,6.1,nan,nan,nan
2022-07-02 13:00:00,2022,2,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 14:00:00,2022,2,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 15:00:00,2022,2,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 16:00:00,2022,2,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 17:00:00,2022,2,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 18:00:00,2022,2,7,18,-43.3,4.897,64.0,2.2,42.8,nan,nan,nan
2022-07-02 19:00:00,2022,2,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 20:00:00,2022,2,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 21:00:00,2022,2,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 22:00:00,2022,2,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-02 23:00:00,2022,2,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 00:00:00,2022,3,7,0,-42.5,4.93,70.3,2.6,17.4,nan,nan,nan
2022-07-03 01:00:00,2022,3,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 02:00:00,2022,3,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 03:00:00,2022,3,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 04:00:00,2022,3,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 05:00:00,2022,3,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 06:00:00,2022,3,7,6,-41.8,3.957,68.1,5.2,5.2,nan,nan,nan
2022-07-03 07:00:00,2022,3,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 08:00:00,2022,3,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 09:00:00,2022,3,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 10:00:00,2022,3,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 11:00:00,2022,3,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 12:00:00,2022,3,7,12,-41.0,6.101,56.2,3.8,349.2,nan,nan,nan
2022-07-03 13:00:00,2022,3,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 14:00:00,2022,3,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 15:00:00,2022,3,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 16:00:00,2022,3,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 17:00:00,2022,3,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 18:00:00,2022,3,7,18,-41.8,8.27,43.7,4.6,23.0,nan,nan,nan
2022-07-03 19:00:00,2022,3,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 20:00:00,2022,3,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 21:00:00,2022,3,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 22:00:00,2022,3,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-03 23:00:00,2022,3,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 00:00:00,2022,4,7,0,-42.0,6.314,56.7,3.7,31.5,nan,nan,nan
2022-07-04 01:00:00,2022,4,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 02:00:00,2022,4,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 03:00:00,2022,4,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 04:00:00,2022,4,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 05:00:00,2022,4,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 06:00:00,2022,4,7,6,-41.9,3.011,81.2,1.5,269.0,nan,nan,nan
2022-07-04 07:00:00,2022,4,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 08:00:00,2022,4,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 09:00:00,2022,4,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 10:00:00,2022,4,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 11:00:00,2022,4,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 12:00:00,2022,4,7,12,-40.9,3.473,85.6,0.6,4.8,nan,nan,nan
2022-07-04 13:00:00,2022,4,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 14:00:00,2022,4,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 15:00:00,2022,4,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 16:00:00,2022,4,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 17:00:00,2022,4,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 18:00:00,2022,4,7,18,-40.2,3.934,73.1,0.9,332.0,nan,nan,nan
2022-07-04 19:00:00,2022,4,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 20:00:00,2022,4,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 21:00:00,2022,4,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 22:00:00,2022,4,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-04 23:00:00,2022,4,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 00:00:00,2022,5,7,0,-39.9,3.495,81.8,1.5,324.5,nan,nan,nan
2022-07-05 01:00:00,2022,5,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 02:00:00,2022,5,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 03:00:00,2022,5,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 04:00:00,2022,5,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 05:00:00,2022,5,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 06:00:00,2022,5,7,6,-39.6,2.611,100.1,1.3,7.4,nan,nan,nan
2022-07-05 07:00:00,2022,5,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 08:00:00,2022,5,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 09:00:00,2022,5,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 10:00:00,2022,5,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 11:00:00,2022,5,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 12:00:00,2022,5,7,12,-40.8,2.167,96.8,2.5,14.1,nan,nan,nan
2022-07-05 13:00:00,2022,5,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 14:00:00,2022,5,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 15:00:00,2022,5,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 16:00:00,2022,5,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 17:00:00,2022,5,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 18:00:00,2022,5,7,18,-42.4,6.335,74.7,1.0,83.1,nan,nan,nan
2022-07-05 19:00:00,2022,5,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 20:00:00,2022,5,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 21:00:00,2022,5,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 22:00:00,2022,5,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-05 23:00:00,2022,5,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 00:00:00,2022,6,7,0,-42.2,4.739,99.1,1.8,39.5,nan,nan,nan
2022-07-06 01:00:00,2022,6,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 02:00:00,2022,6,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 03:00:00,2022,6,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 04:00:00,2022,6,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 05:00:00,2022,6,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 06:00:00,2022,6,7,6,-42.6,3.032,96.2,3.0,28.0,nan,nan,nan
2022-07-06 07:00:00,2022,6,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 08:00:00,2022,6,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 09:00:00,2022,6,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 10:00:00,2022,6,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 11:00:00,2022,6,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 12:00:00,2022,6,7,12,-42.9,4.04,75.5,4.0,26.5,nan,nan,nan
2022-07-06 13:00:00,2022,6,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 14:00:00,2022,6,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 15:00:00,2022,6,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 16:00:00,2022,6,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 17:00:00,2022,6,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 18:00:00,2022,6,7,18,-43.4,4.292,68.8,2.0,21.9,nan,nan,nan
2022-07-06 19:00:00,2022,6,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 20:00:00,2022,6,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 21:00:00,2022,6,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 22:00:00,2022,6,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-06 23:00:00,2022,6,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 00:00:00,2022,7,7,0,-42.7,4.358,75.9,2.3,2.5,nan,nan,nan
2022-07-07 01:00:00,2022,7,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 02:00:00,2022,7,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 03:00:00,2022,7,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 04:00:00,2022,7,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 05:00:00,2022,7,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 06:00:00,2022,7,7,6,-44.0,3.578,66.4,3.3,2.4,nan,nan,nan
2022-07-07 07:00:00,2022,7,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 08:00:00,2022,7,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 09:00:00,2022,7,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 10:00:00,2022,7,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 11:00:00,2022,7,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 12:00:00,2022,7,7,12,-44.9,3.764,63.1,1.8,15.2,nan,nan,nan
2022-07-07 13:00:00,2022,7,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 14:00:00,2022,7,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 15:00:00,2022,7,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 16:00:00,2022,7,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 17:00:00,2022,7,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 18:00:00,2022,7,7,18,-45.3,6.2,67.7,0.8,5.0,nan,nan,nan
2022-07-07 19:00:00,2022,7,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 20:00:00,2022,7,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 21:00:00,2022,7,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 22:00:00,2022,7,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-07 23:00:00,2022,7,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 00:00:00,2022,8,7,0,-43.1,4.128,87.9,0.6,343.5,nan,nan,nan
2022-07-08 01:00:00,2022,8,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 02:00:00,2022,8,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 03:00:00,2022,8,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 04:00:00,2022,8,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 05:00:00,2022,8,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 06:00:00,2022,8,7,6,-41.5,3.221,72.7,3.3,19.2,nan,nan,nan
2022-07-08 07:00:00,2022,8,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 08:00:00,2022,8,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 09:00:00,2022,8,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 10:00:00,2022,8,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 11:00:00,2022,8,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 12:00:00,2022,8,7,12,-38.8,3.153,92.5,1.0,346.8,nan,nan,nan
2022-07-08 13:00:00,2022,8,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 14:00:00,2022,8,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 15:00:00,2022,8,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 16:00:00,2022,8,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 17:00:00,2022,8,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 18:00:00,2022,8,7,18,-38.4,4.207,83.7,0.2,214.4,nan,nan,nan
2022-07-08 19:00:00,2022,8,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 20:00:00,2022,8,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 21:00:00,2022,8,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 22:00:00,2022,8,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-08 23:00:00,2022,8,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 00:00:00,2022,9,7,0,-38.9,4.149,91.7,0.7,25.6,nan,nan,nan
2022-07-09 01:00:00,2022,9,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 02:00:00,2022,9,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 03:00:00,2022,9,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 04:00:00,2022,9,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 05:00:00,2022,9,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 06:00:00,2022,9,7,6,-41.0,3.601,85.5,3.5,19.5,nan,nan,nan
2022-07-09 07:00:00,2022,9,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 08:00:00,2022,9,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 09:00:00,2022,9,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 10:00:00,2022,9,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 11:00:00,2022,9,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 12:00:00,2022,9,7,12,-42.5,4.081,66.8,4.1,25.5,nan,nan,nan
2022-07-09 13:00:00,2022,9,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 14:00:00,2022,9,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 15:00:00,2022,9,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 16:00:00,2022,9,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 17:00:00,2022,9,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 18:00:00,2022,9,7,18,-43.2,4.542,65.6,4.3,24.6,nan,nan,nan
2022-07-09 19:00:00,2022,9,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 20:00:00,2022,9,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 21:00:00,2022,9,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 22:00:00,2022,9,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-09 23:00:00,2022,9,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 00:00:00,2022,10,7,0,-43.8,3.875,74.9,3.8,6.9,nan,nan,nan
2022-07-10 01:00:00,2022,10,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 02:00:00,2022,10,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 03:00:00,2022,10,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 04:00:00,2022,10,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 05:00:00,2022,10,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 06:00:00,2022,10,7,6,-45.2,3.452,73.1,4.3,11.1,nan,nan,nan
2022-07-10 07:00:00,2022,10,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 08:00:00,2022,10,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 09:00:00,2022,10,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 10:00:00,2022,10,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 11:00:00,2022,10,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 12:00:00,2022,10,7,12,-46.6,4.818,65.6,4.4,12.1,nan,nan,nan
2022-07-10 13:00:00,2022,10,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 14:00:00,2022,10,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 15:00:00,2022,10,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 16:00:00,2022,10,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 17:00:00,2022,10,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 18:00:00,2022,10,7,18,-48.5,4.521,68.5,4.7,345.0,nan,nan,nan
2022-07-10 19:00:00,2022,10,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 20:00:00,2022,10,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 21:00:00,2022,10,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 22:00:00,2022,10,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-10 23:00:00,2022,10,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 00:00:00,2022,11,7,0,-48.1,3.981,75.9,2.2,26.9,nan,nan,nan
2022-07-11 01:00:00,2022,11,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 02:00:00,2022,11,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 03:00:00,2022,11,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 04:00:00,2022,11,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 05:00:00,2022,11,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 06:00:00,2022,11,7,6,-48.9,3.473,74.3,2.3,29.8,nan,nan,nan
2022-07-11 07:00:00,2022,11,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 08:00:00,2022,11,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 09:00:00,2022,11,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 10:00:00,2022,11,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 11:00:00,2022,11,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 12:00:00,2022,11,7,12,-49.2,4.417,67.3,4.0,36.9,nan,nan,nan
2022-07-11 13:00:00,2022,11,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 14:00:00,2022,11,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 15:00:00,2022,11,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 16:00:00,2022,11,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 17:00:00,2022,11,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 18:00:00,2022,11,7,18,-48.4,8.39,54.5,2.4,44.6,nan,nan,nan
2022-07-11 19:00:00,2022,11,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 20:00:00,2022,11,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 21:00:00,2022,11,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 22:00:00,2022,11,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-11 23:00:00,2022,11,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 00:00:00,2022,12,7,0,-45.9,6.128,76.5,0.3,182.7,nan,nan,nan
2022-07-12 01:00:00,2022,12,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 02:00:00,2022,12,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 03:00:00,2022,12,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 04:00:00,2022,12,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 05:00:00,2022,12,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 06:00:00,2022,12,7,6,-45.5,3.959,93.2,0.4,47.5,nan,nan,nan
2022-07-12 07:00:00,2022,12,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 08:00:00,2022,12,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 09:00:00,2022,12,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 10:00:00,2022,12,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 11:00:00,2022,12,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 12:00:00,2022,12,7,12,-46.0,2.629,85.5,1.9,22.1,nan,nan,nan
2022-07-12 13:00:00,2022,12,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 14:00:00,2022,12,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 15:00:00,2022,12,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 16:00:00,2022,12,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 17:00:00,2022,12,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 18:00:00,2022,12,7,18,-49.4,4.246,68.7,3.1,11.2,nan,nan,nan
2022-07-12 19:00:00,2022,12,7,19,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 20:00:00,2022,12,7,20,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 21:00:00,2022,12,7,21,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 22:00:00,2022,12,7,22,nan,,nan,nan,nan,nan,nan,nan
2022-07-12 23:00:00,2022,12,7,23,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 00:00:00,2022,13,7,0,-50.4,4.253,66.8,4.8,6.9,nan,nan,nan
2022-07-13 01:00:00,2022,13,7,1,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 02:00:00,2022,13,7,2,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 03:00:00,2022,13,7,3,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 04:00:00,2022,13,7,4,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 05:00:00,2022,13,7,5,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 06:00:00,2022,13,7,6,-51.3,4.356,61.5,4.7,7.4,nan,nan,nan
2022-07-13 07:00:00,2022,13,7,7,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 08:00:00,2022,13,7,8,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 09:00:00,2022,13,7,9,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 10:00:00,2022,13,7,10,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 11:00:00,2022,13,7,11,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 12:00:00,2022,13,7,12,-49.9,6.29,51.9,4.4,21.9,nan,nan,nan
2022-07-13 13:00:00,2022,13,7,13,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 14:00:00,2022,13,7,14,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 15:00:00,2022,13,7,15,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 16:00:00,2022,13,7,16,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 17:00:00,2022,13,7,17,nan,,nan,nan,nan,nan,nan,nan
2022-07-13 18:00:00,2022,13,7,18,-50.2,5.552,59.8,4.8,16.5,nan,nan,nan
